Property Address,Property City,Property Zip Code,Sale Date,Sale_Price,PropertyType,Cap_Rate,Bldg SF,Floor Area Ratio,Building Class,Building Condition,BuildingMaterials,Year Built,Number Of Units,Longitude,Latitude
2244 12th Ave,Oakland,94606,4/27/2011,600000,Multi-Family,9.04,5495,0.733449012,C,Other,Masonry,1962,7,-122.239885,37.796275
2246 Deborah Dr,Santa Clara,95050,5/27/2011,580000,Multi-Family,5.89,4564,0.689321855,C,Other,Masonry,1962,4,-121.962701,37.36297
2610 62nd Ave,Oakland,94605,7/15/2011,580000,Multi-Family,12.6,7600,0.918318028,C,Other,Masonry,1966,10,-122.187536,37.770052
1451 N 1st St,San Jose,95112,7/15/2011,575000,Multi-Family,4.5,3152,0.588828694,C,Other,WoodFrame,1954,5,-121.910587,37.3625
982 Karol Way,San Leandro,94577,5/4/2011,575000,Multi-Family,5.35,2923,0.5846,C,Other,Unknown,1955,4,-122.1552273,37.7293207
3142 Coolidge Ave,Oakland,94602,6/23/2011,570000,Multi-Family,9,5181,0.560774976,C,Other,WoodFrame,1988,6,-122.213075,37.793567
557 66th St,Oakland,94609,8/12/2011,500000,Multi-Family,9.46,3264,0.6528,C,Other,WoodFrame,1958,4,-122.2620272,37.8515743
316-322 Lexington Ave,Hayward,94544,8/22/2011,490000,Multi-Family,7,2474,1,C,Other,Unknown,1958,4,-122.0313553,37.6114809
2565-2577 Martin Luther King Jr Way,Oakland,94612,5/6/2011,449000,Multi-Family,8.3,7358,0.833389965,C,Other,Masonry,1956,12,-122.2720832,37.8161372
431 E O St,Benicia,94510,6/23/2011,420000,Multi-Family,7.2,3240,0.514775977,C,Other,Unknown,1968,4,-122.14682,38.053287
9240-9244 MacArthur Blvd,Oakland,94605,4/14/2011,410000,Multi-Family,8.26,9424,0.753859691,C,Other,Masonry,1958,12,-122.160364,37.753784
1615 Center St,Oakland,94607,8/30/2011,360000,Multi-Family,15.73,5600,1.436634171,C,Other,WoodFrame,1898,3,-122.2923599,37.8130759
2617-2619 International Blvd,Oakland,94601,8/26/2011,329000,Multi-Family,9.9,7366,1.4732,C,Other,Unknown,1903,5,-122.2324409,37.7810095
1650 14th St,Oakland,94607,5/20/2011,257000,Multi-Family,10,2602,0.723179544,C,Other,Unknown,1925,5,-122.295259,37.812202
355 Kiely Blvd,San Jose,95129,12/7/2011,234700000,Multi-Family,4.22,1136844,0.810948812,B,Other,WoodFrame,1970,948,-121.976862,37.319783
4170 Springlake Dr,San Leandro,94578,10/28/2011,110000000,Multi-Family,5.5,612576,0.433368564,C,Other,WoodFrame,1972,840,-122.1332736,37.6931647
790 DeLong Ave,Novato,94945,4/19/2012,67000000,Multi-Family,5,192927,5.052561282,A,Other,ReinforcedConcrete,2009,124,-122.5661228,38.1059315
355 N Wolfe Rd,Sunnyvale,94085,2/16/2012,63150000,Multi-Family,4.75,204060,0.679909905,B,Other,WoodFrame,1991,192,-122.0139414,37.3823966
121-127 2nd St,Oakland,94607,12/13/2011,38000000,Multi-Family,3.99,115354,3.539443405,A,Other,ReinforcedConcrete,2006,104,-122.269023,37.792924
448 Toyon Ave,San Jose,95127,5/1/2012,29000000,Multi-Family,6,163780,0.576491211,C,Other,WoodFrame,1986,144,-121.8271285,37.3828324
2130 Post St,San Francisco,94115,1/31/2012,27800000,Multi-Family,6,97000,3.726326303,C,Other,ReinforcedConcrete,1969,67,-122.436972,37.784906
4200 Bay St,Fremont,94538,12/21/2011,27800000,Multi-Family,5,110640,0.350821564,B,Other,WoodFrame,1978,160,-121.966061,37.533841
40640 High St,Fremont,94538,12/23/2011,25217000,Multi-Family,5.5,104800,0.396355646,C,Other,Unknown,1978,160,-121.961378,37.539175
1070 Reed Ave,Sunnyvale,94086,1/31/2012,23000000,Multi-Family,3.75,109296,0.605917475,C,Other,WoodFrame,1970,100,-122.0006512,37.3663338
215 W MacArthur Blvd,Oakland,94611,3/30/2012,22425000,Multi-Family,6.24,193118,2.736661612,B,Other,ReinforcedConcrete,1974,250,-122.2568933,37.8228158
3101 Magliocco Dr,San Jose,95128,3/29/2012,19300000,Multi-Family,4.25,69468,2.004790627,B,Other,WoodFrame,2008,50,-121.949043,37.313504
1080 San Miguel Rd,Concord,94518,1/9/2012,9300000,Multi-Family,8.2,5141,0.007988985,C,Other,Unknown,1959,178,-122.0278243,37.9627053
925 Waverley St,Palo Alto,94301,4/17/2012,7130000,Multi-Family,4.32,19314,0.852677586,C,Other,Masonry,1961,20,-122.1545182,37.4439468
990 Geary St,San Francisco,94109,1/18/2012,7045320,Multi-Family,5.06,41385,4.3109375,B,Other,Masonry,1914,60,-122.4196622,37.7861892
