Property Address,Property City,Property Zip Code,Sale Date,Sale_Price,PropertyType,Cap_Rate,Bldg SF,Floor Area Ratio,Building Class,Building Condition,BuildingMaterials,Year Built,Number Of Units,Longitude,Latitude
1240 Bush St,San Francisco,94109,1/13/2014,3800000,Multi-Family,3.6,11169,2.363309353,B,Other,Unknown,1914,16,-122.417743,37.7893057
1445 Mason St,San Francisco,94133,4/16/2014,3700000,Multi-Family,2.14,11000,1.942776404,C,Other,Unknown,1913,12,-122.4122071,37.7968311
40 Cervantes Blvd,San Francisco,94123,12/31/2013,3665000,Multi-Family,3.37,8100,2.656608724,C,Other,ReinforcedConcrete,1927,6,-122.4377158,37.8035462
3321 21st St,San Francisco,94110,12/12/2013,3550000,Multi-Family,2.57,5776,1.076407007,C,Other,Unknown,1904,12,-122.4216705,37.7567083
1760 Golden Gate Ave,San Francisco,94115,1/15/2014,3500000,Multi-Family,4.42,8412,1.855315395,C,Other,WoodFrame,1926,12,-122.4396527,37.7788794
1875 California St,San Francisco,94109,4/9/2014,3475000,Multi-Family,3.23,7772,2.392120653,C,Other,ReinforcedConcrete,1913,8,-122.4250583,37.7897929
130 Graystone Ter,San Francisco,94114,12/12/2013,3450000,Multi-Family,3.92,7419,0.813397654,C,Other,WoodFrame,1951,9,-122.4467681,37.7573968
310 Bayview St,San Rafael,94901,4/10/2014,3450000,Multi-Family,5.24,10624,1.416344487,C,Other,Unknown,1971,14,-122.5356403,37.9682491
375 Saratoga Ave,Santa Clara,95050,3/11/2014,3425000,Multi-Family,4.57,7788,0.638570023,C,Other,WoodFrame,1957,13,-121.9629193,37.3308062
3540-3546 Balboa St,San Francisco,94121,1/24/2014,3375000,Multi-Family,5,10544,1.562768638,B,Needs Improvement,Unknown,1975,10,-122.4971096,37.7759445
2210 10th Ave,Oakland,94606,4/29/2014,3350000,Multi-Family,5.88,22368,2.130894541,C,Other,Masonry,1928,24,-122.2418024,37.7972996
1658 Sacramento St,San Francisco,94109,2/7/2014,3290000,Multi-Family,3.5,8508,2.222570533,B,Other,Unknown,1913,13,-122.4203812,37.7918181
605-611 Haight St,San Francisco,94117,4/4/2014,3200000,Multi-Family,4.36,7900,1.57716111,C,Other,WoodFrame,1900,6,-122.4324157,37.7716526
1844 Park Ave,San Jose,95126,3/6/2014,3100000,Multi-Family,3.45,10650,0.872879272,C,Other,WoodFrame,1963,12,-121.9260669,37.3359789
1828 Robin Ln,Concord,94520,12/23/2013,3050000,Multi-Family,5.68,25377,0.766560942,C,Good,WoodFrame,1972,27,-122.0428389,37.9578035
255 Channing Way,San Rafael,94903,2/25/2014,3050000,Multi-Family,4.96,13300,0.458462599,C,Other,Unknown,1965,14,-122.5357451,38.0093399
441 24th Ave,San Francisco,94121,1/24/2014,3025000,Multi-Family,3.34,10020,2.300275482,C,Other,Unknown,1925,11,-122.4840168,37.7812715
700 12th Ave,San Francisco,94118,2/7/2014,2985000,Multi-Family,4.92,7650,2.509019351,C,Other,Unknown,1921,6,-122.4701067,37.7747927
156-164 8th St,San Francisco,94103,3/31/2014,2980000,Multi-Family,4.46,10290,2.731616671,B,Other,ReinforcedConcrete,1911,14,-122.4125007,37.7765781
27495 Manon Ave,Hayward,94544,1/23/2014,2900000,Multi-Family,7.55,23060,0.562466462,C,Other,Masonry,1963,22,-122.069778,37.6361147
172 Palm Ave,San Francisco,94118,1/28/2014,2865000,Multi-Family,4.83,5352,1.380804954,C,Other,Unknown,1919,6,-122.4575513,37.7820677
27405 Manon Ave,Hayward,94544,12/24/2013,2850000,Multi-Family,6.78,17640,0.434932689,C,Other,WoodFrame,1964,20,-122.070863,37.636672
235 Emerson St,Palo Alto,94301,2/7/2014,2810000,Multi-Family,3.13,3246,0.574614976,C,Other,WoodFrame,1905,8,-122.1656717,37.446801
1145 Village Dr,Belmont,94002,12/20/2013,2780000,Multi-Family,5.42,9762,0.848943386,C,Other,Unknown,1960,8,-122.2931863,37.5079474
3380 Adeline St,Berkeley,94703,3/4/2014,2705000,Multi-Family,5.04,9408,0.913309387,C,Other,Masonry,1960,14,-122.2726791,37.8471124
2710 Market St,San Francisco,94114,2/28/2014,2600000,Multi-Family,6.37,5280,1.544311202,C,Other,Unknown,1922,10,-122.4386969,37.7618214
1148 Arroyo Rd,Livermore,94550,1/31/2014,2585000,Multi-Family,9.68,35425,0.462075263,C,Other,Unknown,,32,-121.7675848,37.671733
662 Mariposa Ave,Mountain View,94041,1/9/2014,2535000,Multi-Family,4.61,4918,0.495416541,C,Other,Unknown,1959,9,-122.091957,37.391408
1220 Cortez Dr,Sunnyvale,94086,4/15/2014,2525000,Multi-Family,4.85,6837,0.456560935,C,Other,WoodFrame,1963,10,-122.0547981,37.3812031
1912 Green St,San Francisco,94123,12/31/2013,2495000,Multi-Family,4.75,3105,1.188289323,C,Other,WoodFrame,1900,4,-122.43105,37.796923
407 Chestnut St,Redwood City,94063,12/2/2013,2450000,Multi-Family,9.43,4378,0.913796702,C,Other,Unknown,1954,7,-122.222272,37.481617
570 Grand Ave,Oakland,94610,2/19/2014,2445000,Multi-Family,5.5,9700,2.356656948,C,Other,WoodFrame,1925,13,-122.2502018,37.8092721
1911 San Ramon Ave,Mountain View,94043,4/15/2014,2400000,Multi-Family,4,4355,0.291655505,C,Other,Unknown,1962,5,-122.0888036,37.4091271
667-677 47th Ave,San Francisco,94121,3/3/2014,2400000,Multi-Family,4.78,5876,1.185394392,C,Other,Unknown,1949,6,-122.5082529,37.7756505
40 Tiffany Ave,San Francisco,94110,1/15/2014,2350000,Multi-Family,1.13,7920,1.292428198,C,Other,WoodFrame,1923,12,-122.4209355,37.7459566
1120 Arguello St,Redwood City,94063,3/11/2014,2325000,Multi-Family,3.7,8120,1.249422988,C,Other,ReinforcedConcrete,1962,10,-122.237435,37.490949
240-242 Arguello Blvd,San Francisco,94118,4/28/2014,2300000,Multi-Family,3.39,5199,1.865446717,B,Other,WoodFrame,1922,3,-122.458922,37.786097
730 San Juan Dr,Sunnyvale,94085,12/11/2013,2280000,Multi-Family,4.36,6716,0.440537881,C,Other,Unknown,1958,10,-122.0107036,37.3907814
176 15th St,Oakland,94612,1/24/2014,2250000,Multi-Family,5.43,10650,0.211940299,C,Other,Masonry,1925,23,-122.2640703,37.8028855
505 Grand View Ave,San Francisco,94114,12/20/2013,2240000,Multi-Family,4.22,6704,1.625212121,C,Other,Unknown,1961,6,-122.4425882,37.7513962
380 Euclid Ave,Oakland,94610,4/24/2014,2230000,Multi-Family,6,16191,1.925895087,C,Other,WoodFrame,1958,21,-122.251447,37.811776
533-537 Clayton St,San Francisco,94117,4/15/2014,2225000,Multi-Family,4.5,6424,2.198494182,B,Other,Unknown,1904,6,-122.4488823,37.7702119
1030 Larkin St,San Francisco,94109,12/3/2013,2200000,Multi-Family,4.5,6988,2.719066148,B,Other,Masonry,1919,16,-122.4182606,37.787502
1150 Greenwood Ave,San Carlos,94070,3/11/2014,2175000,Multi-Family,5.54,4968,0.822380401,C,Other,WoodFrame,1955,13,-122.251706,37.499128
147 W Richmond Ave,Richmond,94801,4/3/2014,2175000,Multi-Family,6.41,12000,2.504696306,C,Other,Masonry,1935,14,-122.3858296,37.925951
2094-2098 Mission St,San Francisco,94110,1/13/2014,2138880,Retail,4.8,5290,2.748051948,Unknown,Other,WoodFrame,1906,16,-122.419909,37.763461
1029 El Camino Real,Burlingame,94010,2/13/2014,2050000,Multi-Family,3.6,8938,1.067096466,C,Other,ReinforcedConcrete,1977,8,-122.3631162,37.5821168
435 9th Ave,San Francisco,94118,2/4/2014,2000000,Multi-Family,1.35,4312,1.436854382,C,Other,WoodFrame,1963,6,-122.4676549,37.7801184
436 Clinton St,Redwood City,94062,3/21/2014,1980000,Multi-Family,3.26,10456,1.340340982,C,Other,Unknown,1963,7,-122.2348668,37.4820985
1440-1442 Clement St,San Francisco,94118,4/18/2014,1970000,Multi-Family,3.68,5976,1.146144994,C,Other,WoodFrame,1913,8,-122.474807,37.782712
2835 Anza St,San Francisco,94121,3/7/2014,1950000,Multi-Family,5.5,3770,1.500198965,C,Other,Unknown,1923,4,-122.4787858,37.7782441
1318 California Ave,San Pablo,94806,3/20/2014,1945000,Multi-Family,6.59,12804,1.130596026,C,Other,WoodFrame,1965,16,-122.355968,37.952941
210-218 Carquinez Scenic Dr,Martinez,94553,3/21/2014,1867000,Multi-Family,6.4,9118,0.67525735,C,Other,Unknown,1958,20,-122.14332,38.017061
1275-1277 Hearst Ave,Berkeley,94702,1/31/2014,1840000,Multi-Family,6.14,7200,0.58427331,C,Other,Unknown,1960,10,-122.2874015,37.8714642
1839 Latham St,Mountain View,94041,1/15/2014,1825000,Multi-Family,3.91,3776,0.577900214,C,Other,Unknown,1950,4,-122.09481,37.393682
640 Brooklyn Ave,Oakland,94606,1/9/2014,1825000,Multi-Family,6.53,10473,2.0946,C,Other,Masonry,1929,18,-122.2471093,37.8042722
2379 27th Ave,San Francisco,94116,4/1/2014,1795000,Multi-Family,6.75,4500,1.499500167,C,Other,Unknown,1929,6,-122.4845819,37.7430794
20188 Wisteria St,Castro Valley,94546,12/31/2013,1791000,Multi-Family,6.03,9150,0.490800837,C,Other,Masonry,1963,11,-122.085404,37.698134
1929 26th Ave,Oakland,94601,3/14/2014,1787500,Multi-Family,6.75,15200,2.7696793,C,Other,ReinforcedConcrete,1928,23,-122.228778,37.785154
10160 Miller Ave,Cupertino,95014,12/18/2013,1770000,Multi-Family,3.98,4964,0.4472475,B,Other,WoodFrame,1963,4,-122.0139122,37.3205251
3233 Cadillac Dr,San Jose,95117,4/29/2014,1730000,Multi-Family,4.24,7720,0.843992566,C,Other,WoodFrame,1958,10,-121.9538042,37.2971255
1851 Latham St,Mountain View,94041,1/21/2014,1725000,Multi-Family,4.1,3776,0.555702723,C,Other,Unknown,1950,4,-122.094983,37.393752
122 Lyon St,San Francisco,94117,2/11/2014,1700000,Multi-Family,4,3814,1.67427568,C,Other,WoodFrame,1900,5,-122.4420458,37.7723491
296 Higdon Ave,Mountain View,94041,3/19/2014,1700000,Multi-Family,3.35,3227,0.352793266,C,Other,Unknown,1961,5,-122.0917153,37.3974009
5405-5411 Morrow Dr,San Pablo,94806,2/28/2014,1650000,Multi-Family,8.6,20840,0.525744847,C,Other,WoodFrame,1962,31,-122.3283539,37.9602839
2275 Park Blvd,Oakland,94606,1/9/2014,1626000,Multi-Family,6,6543,0.938872148,C,Other,Masonry,1953,10,-122.2456341,37.8019229
524 Buena Vista Ave,Alameda,94501,12/2/2013,1605000,Multi-Family,5.1,7592,0.486729068,C,Other,Masonry,,10,-122.2809294,37.7770429
231 Lincoln Ave,Redwood City,94061,2/7/2014,1600000,Multi-Family,5.59,6024,0.727887869,C,Other,Unknown,1959,6,-122.22801,37.47824
336 N 5th St,San Jose,95112,12/20/2013,1600000,Multi-Family,4.19,5515,0.562984892,C,Other,WoodFrame,1957,10,-121.8898976,37.3434616
1220-1224 Powell St,San Francisco,94133,1/15/2014,1599000,Multi-Family,5.5,6900,3.046357616,C,Other,Unknown,1923,6,-122.4097693,37.795989
895-897 34th Ave,San Francisco,94121,1/8/2014,1595000,Multi-Family,5.5,4840,2.062207073,C,Other,Unknown,1926,5,-122.494043,37.7722852
88 Elgin,San Francisco,94103,4/30/2014,1590000,Multi-Family,5.07,4290,2.462686567,C,Other,WoodFrame,1915,6,-122.423483,37.770098
5670-5678 Telegraph Ave,Oakland,94609,4/29/2014,1580000,Multi-Family,5.85,6194,0.412878283,C,Other,Masonry,1944,10,-122.261146,37.842552
1884-1886 Market St,San Francisco,94102,4/22/2014,1550000,Retail,4.03,4350,1.778121376,Unknown,Other,WoodFrame,1932,6,-122.4248432,37.7711671
2840 Judah St,San Francisco,94122,4/25/2014,1550000,Multi-Family,4.33,3332,1.275162648,C,Other,WoodFrame,1964,6,-122.4927519,37.7613013
1329 16th Ave,San Francisco,94122,2/24/2014,1530000,Multi-Family,4.31,4959,1.26505102,C,Other,Unknown,1924,5,-122.4740534,37.7632044
531 Willard Ave,San Jose,95126,12/31/2013,1525000,Multi-Family,5.8,6124,0.611299661,C,Other,WoodFrame,1958,10,-121.9171762,37.3187941
380 Bellevue Ave,Oakland,94610,4/8/2014,1500000,Multi-Family,4.12,9430,0.746516783,C,Other,Masonry,1914,5,-122.252604,37.8116317
256 N 3rd St,San Jose,95112,2/21/2014,1490000,Multi-Family,5.35,5600,0.75624578,C,Other,WoodFrame,1941,6,-121.8909674,37.3410324
1359-1363 Valencia St,San Francisco,94110,4/10/2014,1485000,Multi-Family,2.61,4050,1.379897785,B,Other,WoodFrame,1909,6,-122.4203559,37.7512286
1420 Alcatraz Ave,Berkeley,94702,12/18/2013,1475000,Multi-Family,6.3,4755,0.459065457,B,Other,WoodFrame,1916,8,-122.2785436,37.8476076
1738 Spruce St,Berkeley,94709,1/13/2014,1475000,Multi-Family,5.9,2979,0.423213525,C,Other,WoodFrame,1946,4,-122.2659636,37.8761648
313 Camelback Rd,Pleasant Hill,94523,3/28/2014,1462000,Multi-Family,4.69,5808,0.267206478,C,Other,WoodFrame,1971,8,-122.0706381,37.9748793
1241 Clinton St,Redwood City,94061,3/12/2014,1445000,Multi-Family,4.69,3800,0.545271918,C,Other,Unknown,1951,5,-122.2248869,37.4754247
2023 Town and Country Ln,Santa Clara,95050,3/28/2014,1442000,Multi-Family,2.91,3717,0.497324057,B,Other,WoodFrame,1963,4,-121.9556184,37.3369962
426 Hawthorn Ave,Sunnyvale,94086,1/23/2014,1405000,Multi-Family,4.45,4218,0.383524277,C,Other,WoodFrame,1963,5,-122.018843,37.37046
715 Lincoln Way,San Francisco,94122,12/5/2013,1400000,Multi-Family,4.42,3266,1.309018036,B,Other,WoodFrame,1963,4,-122.465723,37.7657312
2215 San Jose Ave,Alameda,94501,2/18/2014,1360000,Multi-Family,4.47,6256,0.835024026,C,Other,WoodFrame,1971,7,-122.248706,37.762539
192-196 Valley St,San Francisco,94131,4/8/2014,1350100,Multi-Family,3.29,3426,2.723370429,C,Other,WoodFrame,1908,6,-122.426487,37.744638
15991 Mateo St,San Leandro,94578,12/31/2013,1350000,Multi-Family,5.5,7508,0.522331988,C,Other,Unknown,1964,10,-122.118046,37.699909
4200-4204 Mission St,San Francisco,94112,3/31/2014,1340000,Multi-Family,4.69,5175,2.303070761,B,Other,ReinforcedConcrete,1963,6,-122.4304509,37.7299133
1027 Clinton St,Redwood City,94061,3/28/2014,1300000,Multi-Family,5.01,4704,0.830801837,C,Other,WoodFrame,1958,5,-122.228235,37.477651
418 Roosevelt Ave,Sunnyvale,94085,4/18/2014,1300000,Multi-Family,2.85,3528,0.387734916,C,Other,WoodFrame,1957,6,-122.0206457,37.3846504
10 Ash Ave,San Anselmo,94960,12/12/2013,1300000,Multi-Family,6,3610,0.352676827,C,Other,WoodFrame,1951,5,-122.5747055,37.9853654
2600 International Blvd,Oakland,94601,4/18/2014,1270000,Multi-Family,8.34,12158,1.430689574,C,Other,WoodFrame,1925,24,-122.2322812,37.7816007
118 Euclid Ave,San Leandro,94577,1/30/2014,1250000,Multi-Family,6.76,6629,0.690520833,C,Other,WoodFrame,1966,8,-122.159219,37.732677
2100 51st Ave,Oakland,94601,12/18/2013,1250000,Multi-Family,6.8,14266,2.258708043,C,Other,WoodFrame,1932,18,-122.204138,37.773682
416 Staten Ave,Oakland,94610,1/15/2014,1232891,Multi-Family,4.86,4602,0.73632,C,Other,Masonry,,6,-122.253312,37.809822
315 Leigh Ave,San Jose,95128,12/24/2013,1225000,Multi-Family,5.54,4637,0.532254362,C,Other,WoodFrame,1956,9,-121.924166,37.322901
891 Cedar St,Alameda,94501,1/31/2014,1200000,Multi-Family,5.12,6132,1.173139468,C,Other,Masonry,1920,6,-122.249364,37.761129
1660 De Rose Way,San Jose,95126,1/10/2014,1187500,Multi-Family,4.09,4281,0.756093253,B,Other,Masonry,1963,4,-121.922896,37.303766
1610 Santa Clara St,Santa Clara,95050,1/10/2014,1186500,Multi-Family,5.05,3780,0.482142857,C,Other,WoodFrame,1958,6,-121.9502283,37.3442074
1128 Lacey Ln,Concord,94520,3/12/2014,1142500,Multi-Family,5.87,6663,0.695293749,C,Other,Unknown,1988,8,-122.044084,37.954753
1217-1235 Pierce St,Santa Clara,95050,1/24/2014,1130000,Multi-Family,4.07,2870,0.404510218,B,Other,WoodFrame,1989,3,-121.9549605,37.348769
409 Rogell Ct,San Mateo,94401,4/18/2014,1100000,Multi-Family,4.87,3317,0.559925726,C,Other,Unknown,1960,5,-122.322647,37.579867
977 N 7th St,San Jose,95112,12/4/2013,1100000,Multi-Family,7.1,4004,0.584440228,C,Other,ReinforcedConcrete,1957,8,-121.898374,37.3576922
800 Sobrato Dr,Campbell,95008,2/28/2014,1100000,Multi-Family,4.88,3360,0.350620891,C,Other,Unknown,1962,4,-121.9599821,37.2754085
2127 Fruitdale Ave,San Jose,95128,2/20/2014,1100000,Multi-Family,5.11,3900,0.629235237,C,Other,Unknown,1960,6,-121.92995,37.310965
389 Clifton Ave,San Jose,95128,1/6/2014,1088000,Multi-Family,5.6,3588,0.588389636,B,Other,Unknown,1956,6,-121.9251265,37.3218487
387 Clifton Ave,San Jose,95128,2/25/2014,1084444,Multi-Family,5.66,3588,0.588389636,B,Other,WoodFrame,1956,6,-121.9251889,37.3219438
2790 Marlborough Ave,Redwood City,94063,2/20/2014,1030000,Multi-Family,4.31,3478,0.659962049,C,Other,Unknown,1962,4,-122.213198,37.471901
1371 Via Dondera,Santa Clara,95051,12/6/2013,1020000,Multi-Family,4.51,2880,0.44077135,C,Other,Unknown,1962,4,-121.9844646,37.350219
1391 Via Dondera,Santa Clara,95051,12/6/2013,1005000,Multi-Family,4.48,2880,0.413258717,C,Other,Unknown,1962,4,-121.9844709,37.3505348
1381 Via Dondera,Santa Clara,95051,12/6/2013,1005000,Multi-Family,4.52,2880,0.44077135,C,Other,Unknown,1962,4,-121.9844453,37.3503458
1016 Washington St,San Francisco,94108,3/7/2014,1001118,Multi-Family,5.99,2814,1.794642857,C,Other,Unknown,1907,4,-122.410216,37.79487
518 Lincoln Rd E,Vallejo,94591,12/3/2013,1000100,Multi-Family,7.13,7356,0.667513612,C,Good,WoodFrame,1965,10,-122.229322,38.096848
2424 90th Ave,Oakland,94603,12/30/2013,975000,Multi-Family,7.7,8928,0.732043293,C,Other,Masonry,1963,12,-122.1624442,37.7545976
417 7th St,Oakland,94607,12/5/2013,950000,Retail,5.62,4950,1.9832,Unknown,Other,Masonry,1982,0,-122.273416,37.799175
1212 12th St,Oakland,94607,1/24/2014,940000,Multi-Family,6.1,4654,0.738964751,C,Other,WoodFrame,1963,6,-122.2881036,37.8087014
28537 E 13th St,Hayward,94544,12/31/2013,940000,Multi-Family,4.32,4860,0.528318295,C,Other,Masonry,1962,6,-122.0562353,37.6364303
1031 Park Ave,San Jose,95126,4/16/2014,927500,Multi-Family,4.27,3400,0.555192685,B,Other,Masonry,1919,4,-121.9091167,37.3263751
15 Mariposa Rd,San Rafael,94901,1/24/2014,925000,Multi-Family,5.5,2500,0.460999447,C,Other,Unknown,1935,5,-122.527808,37.967063
1626 Bonita Ave,Berkeley,94709,1/10/2014,920000,Multi-Family,5.03,4200,0.832012678,C,Other,Unknown,1961,6,-122.272691,37.876888
1715 Ross Cir,San Jose,95124,1/23/2014,920000,Multi-Family,4.32,3674,0.453468279,C,Other,Unknown,1963,4,-121.9110428,37.2532149
228 Florida St,Vallejo,94590,2/19/2014,900000,Multi-Family,6,6996,1.076473304,C,Other,WoodFrame,1985,10,-122.262125,38.10539
1736 Lexington Ave,El Cerrito,94530,4/22/2014,898000,Multi-Family,5.35,3441,0.529466072,C,Other,Unknown,1947,5,-122.3146612,37.923662
3048 Champion St,Oakland,94602,1/31/2014,885000,Multi-Family,6.96,5385,0.706507478,C,Other,Masonry,1938,7,-122.216447,37.794884
3301-3307 35th Ave,Oakland,94619,2/28/2014,885000,Multi-Family,7.4,5850,0.300786673,C,Other,WoodFrame,1955,8,-122.2042853,37.7922368
6400 Macarthur Blvd,Oakland,94605,12/31/2013,875000,Multi-Family,9.18,11630,1.09872461,C,Other,WoodFrame,1964,13,-122.179346,37.773997
980-986 Simon St,Hayward,94541,4/11/2014,865000,Multi-Family,4.7,5400,0.544684285,C,Other,Unknown,1953,6,-122.0877336,37.677686
548 105th Ave,Oakland,94603,12/3/2013,865000,Multi-Family,7.28,9800,0.265935796,C,Other,WoodFrame,1958,11,-122.178874,37.731845
716 Clementina St,San Francisco,94103,12/20/2013,850000,Multi-Family,4,2480,1.324079018,C,Other,Unknown,1914,5,-122.4110804,37.7752044
549-573 E San Bruno Ave,San Bruno,94066,12/31/2013,825000,Multi-Family,4.3,4361,0.581389148,C,Other,Steel,1934,5,-122.408106,37.631008
1607 Prince St,Berkeley,94703,4/11/2014,823000,Multi-Family,5.16,3612,0.535031847,C,Other,Masonry,1964,5,-122.27628,37.852041
1103 Oak St,Alameda,94501,3/11/2014,820000,Multi-Family,4,3967,1.138633754,C,Other,WoodFrame,1907,5,-122.246117,37.762396
1026 Linden St,Oakland,94607,4/4/2014,780000,Multi-Family,5.25,3357,0.707034541,C,Other,WoodFrame,1912,4,-122.28459,37.806774
2432 7th St,Berkeley,94710,1/14/2014,770000,Multi-Family,6.01,3666,0.611203735,C,Other,Unknown,,6,-122.2945581,37.8608097
6582-6584 Mission St,Daly City,94014,1/9/2014,750000,Retail,5.54,1084,0.972375691,Unknown,Other,WoodFrame,,1,-122.4631501,37.7033646
763 Calero Ave,San Jose,95123,12/13/2013,745000,Multi-Family,7,2970,0.422234859,C,Other,Unknown,1965,9,-121.8449785,37.2434083
43 E Crescent Dr,San Rafael,94901,2/26/2014,740000,Multi-Family,4.87,2270,0.257983862,C,Other,Unknown,1933,4,-122.5451652,37.975622
1703 24th Ave,Oakland,94601,4/15/2014,725000,Multi-Family,6.91,4850,0.856587778,C,Other,WoodFrame,1950,6,-122.23209,37.785224
14757 Martell Ave,San Leandro,94578,4/25/2014,722000,Multi-Family,6.07,2736,0.54199683,C,Other,Unknown,1960,4,-122.1364396,37.6973028
408 Winchester St,Daly City,94014,12/4/2013,720000,Multi-Family,7.67,3718,1.4872,C,Other,WoodFrame,1917,5,-122.455978,37.705499
1471 Reganti Pl,Concord,94518,3/7/2014,720000,Multi-Family,5.16,3992,0.539095206,C,Other,WoodFrame,1970,4,-122.043998,37.951456
5231 Martin Luther King Jr Way,Oakland,94609,4/2/2014,680000,Multi-Family,7.4,2535,0.494923858,C,Other,Unknown,1913,4,-122.2694698,37.8377278
630 W Tregallas Rd,Antioch,94509,12/5/2013,680000,Multi-Family,6.35,5468,0.621434254,C,Other,Unknown,1962,8,-121.814851,37.99771
1973 Jacqueline Way,Concord,94519,4/28/2014,674000,Multi-Family,6.09,4176,0.456543129,C,Other,WoodFrame,1968,5,-122.012452,37.98411
2901 Octavia St,Oakland,94619,4/8/2014,650000,Multi-Family,8.5,3150,0.63,C,Other,Unknown,1965,4,-122.2069716,37.7890459
221 Escobar St,Martinez,94553,3/3/2014,638000,Multi-Family,8.4,3360,0.670792573,C,Other,Unknown,1947,8,-122.140392,38.016069
86 Cambridge Ave,San Leandro,94577,1/16/2014,615000,Multi-Family,4,3164,0.320859953,C,Other,WoodFrame,1916,5,-122.1616063,37.7348132
1640 7th St,Berkeley,94710,4/25/2014,600000,Multi-Family,7,4830,1.208104052,C,Other,Unknown,1936,6,-122.2985076,37.8730138
275 Macarthur Blvd,Oakland,94610,12/17/2013,600000,Multi-Family,4.91,7692,0.769123088,C,Other,Masonry,1950,10,-122.252204,37.8148684
3007 35th Ave,Oakland,94619,5/1/2014,565000,Multi-Family,6.02,4300,0.688,C,Other,WoodFrame,1970,5,-122.2067204,37.7903943
867 37th St,Emeryville,94608,3/11/2014,510000,Multi-Family,7,4500,0.589699908,C,Other,WoodFrame,1908,7,-122.2740238,37.8267977
5243 Macarthur Blvd,Oakland,94619,3/21/2014,510000,Multi-Family,6.21,2600,0.53300533,C,Other,Unknown,1959,4,-122.1872889,37.7797814
463 Hale Ave,Oakland,94603,12/31/2013,335000,Multi-Family,11.08,3328,0.618127786,C,Other,Masonry,1964,4,-122.180891,37.733753
5600 Bancroft Ave,Oakland,94605,12/6/2013,315000,Multi-Family,4.91,5690,0.711161105,C,Other,Masonry,1964,8,-122.1957936,37.7716073
333 Main St,Redwood City,94063,5/14/2014,83200000,Multi-Family,3.92,122000,1.228402272,B,Other,WoodFrame,2013,132,-122.2271355,37.4919146
870-874 E El Camino Real,Sunnyvale,94087,8/26/2014,69500000,Multi-Family,3.9,131182,0.623506374,C,Other,WoodFrame,1987,184,-122.0170618,37.3536161
260 Park Lake Cir,Walnut Creek,94598,10/1/2014,65000000,Multi-Family,5,168437,0.378354519,B,Good,WoodFrame,1981,184,-122.037167,37.922171
6233 Dougherty Rd,Dublin,94568,8/29/2014,62800000,Multi-Family,4.4,161881,0.581941519,B,Good,WoodFrame,2002,177,-121.9091638,37.7080843
7375 Rollingdell Dr,Cupertino,95014,8/29/2014,52910000,Multi-Family,4.4,118240,0.530160025,C,Other,WoodFrame,1978,128,-122.033342,37.306308
3600 Sierra Ridge Rd,Richmond,94806,8/29/2014,38800000,Multi-Family,6.31,177234,0.323172021,B,Good,WoodFrame,1990,241,-122.3205093,37.9871174
535 Everett Ave,Palo Alto,94301,7/2/2014,36500000,Multi-Family,2.27,67700,2.252462071,C,Other,ReinforcedConcrete,1964,90,-122.161592,37.450737
21701 Foothill Blvd,Hayward,94541,9/25/2014,32200000,Multi-Family,5.46,122359,0.513141065,C,Other,WoodFrame,1983,162,-122.088768,37.682082
3150-3230 Loma Verde Dr,San Jose,95117,8/15/2014,32200000,Multi-Family,8.54,109017,0.532486372,C,Other,Masonry,1964,164,-121.953473,37.298482
965 Magnolia Ave,Larkspur,94939,6/5/2014,24000000,Multi-Family,4,76242,0.435392408,C,Other,WoodFrame,1962,80,-122.545045,37.945845
301-321 Oxford Way,Belmont,94002,9/17/2014,17550000,Multi-Family,4.85,51700,1.186868687,C,Other,WoodFrame,1964,65,-122.273244,37.528105
126 W Ahwanee Ave,Sunnyvale,94085,9/16/2014,16100000,Multi-Family,3.82,37136,0.442411246,B,Other,WoodFrame,1964,68,-122.024025,37.397377
1029-1035 Geary St,San Francisco,94109,8/8/2014,15450000,Multi-Family,3.5,38184,4.132914818,B,Other,Masonry,1907,58,-122.420425,37.785576
3301 Homestead Rd,Santa Clara,95051,7/28/2014,13400000,Multi-Family,4.2,35248,0.709815136,C,Other,WoodFrame,1972,39,-121.9880355,37.3381569
1825 Sonoma Blvd,Vallejo,94590,5/29/2014,12900000,Multi-Family,8.89,113244,3.85498366,C,Other,Masonry,1917,136,-122.2554718,38.1028173
1035 Pine St,San Francisco,94109,6/10/2014,12700000,Multi-Family,3.6,34300,5.790006752,B,Other,Masonry,1924,38,-122.4129833,37.7903625
566 Vallejo St,San Francisco,94133,9/30/2014,12463000,Multi-Family,2.79,18369,1.413761256,C,Other,ReinforcedConcrete,1955,29,-122.406665,37.799351
275 Turk St,San Francisco,94102,7/15/2014,12000000,Multi-Family,3.8,32385,4.282597197,B,Other,Unknown,1909,59,-122.413543,37.7826182
2483-2491 Whitney Dr,Mountain View,94043,9/16/2014,11700000,Multi-Family,2.87,47176,0.717560271,C,Other,Unknown,1960,40,-122.1034277,37.4083434
1731 15th St,San Francisco,94103,5/16/2014,11300000,Multi-Family,4.2,19500,2.984389348,C,Other,Masonry,1919,30,-122.4231263,37.7662429
500 El Camino Real,Burlingame,94010,6/9/2014,10500000,Multi-Family,5.77,24000,1.28796823,C,Other,Unknown,1958,35,-122.3528533,37.5773554
