Property: Property Name,Prop City,Prop County,Last Sale,Last Price,Est. Sale Cap,Units,# 1 Bedrooms,# 2 Bedrooms,# 3 Bedrooms,Square Footage,Year Built,Prop Zip Code
3050 Fruitvale Ave,Oakland,Alameda,12/19/2016,3150000,5.47,19,2,17,0,14823,1969,94602
401 E Poplar Ave,San Mateo,San Mateo,8/31/2016,9300000,5.46,31,16,0,0,23026,1962,94401
2847 Lomitas Ave,Santa Rosa,Sonoma,5/21/2013,975000,5.46,7,6,0,1,3000,,95404
1551 Lacey St,Concord,Contra Costa,4/29/2016,835000,5.46,6,4,2,0,4178,,94520
2847-2863 Lomitas Ave,Santa Rosa,Sonoma,5/21/2013,975000,5.46,7,6,0,1,4500,1975,95404
1491 Bassett Dr,Concord,Contra Costa,10/22/2013,1394500,5.45,10,0,10,0,7400,1963,94521
3408 Richmond Blvd,Oakland,Alameda,7/10/2012,3000000,5.44,18,0,18,0,16500,1924,94611
2075 Funny Cide St,Napa,Napa,2/9/2015,58050000,5.44,178,28,107,33,109361,2006,94559
1988 Bellomy St,Santa Clara,Santa Clara,1/31/2014,5150000,5.44,21,7,13,1,17245,1978,95050
341-343 Angel Ave,Sunnyvale,Santa Clara,7/9/2015,2500000,5.43,8,0,8,0,7246,,94086
225 Chumalia St,San Leandro,Alameda,10/16/2013,1962500,5.43,14,12,2,0,9252,1959,94577
2940 Fruitvale Ave,Oakland,Alameda,5/12/2016,1170000,5.43,7,0,7,0,6946,1920,94602
450 Roosevelt Ave,Redwood City,San Mateo,5/20/2014,3325000,5.42,11,8,3,0,8115,1957,94061
531 Willard Ave,San Jose,Santa Clara,3/26/2015,2050000,5.42,10,8,2,0,6124,1958,95126
1491 Hess Rd,Redwood City,San Mateo,8/31/2015,25750000,5.41,85,41,44,0,59160,,94061
903-911 Adams St,Redwood City,San Mateo,6/17/2014,1515000,5.41,5,3,2,0,3710,1947,94061
1621 Detroit Ave,Concord,Contra Costa,2/24/2015,4925000,5.4,35,23,12,0,24958,1966,94520
2385-2389 Folsom St,San Francisco,San Francisco,6/6/2014,3120000,5.4,16,2,3,5,11721,,94110
2743 Joseph Ave,Campbell,Santa Clara,5/10/2013,1235000,5.4,6,0,6,0,5864,1963,95008
41 Moss Ave,Oakland,Alameda,7/31/2014,2525000,5.39,15,15,0,0,11588,1963,94610
27069 Belvedere Ct,Hayward,Alameda,10/17/2014,847000,5.39,6,1,5,0,5088,1963,94544
2119 University Ave,,Alameda,7/26/2016,22000000,5.39,56,11,45,0,65118,2004,
1616 Taylor,San Francisco,San Francisco,7/13/2016,2150000,5.39,11,9,0,1,8865,1923,94133
619 Stambaugh St,Redwood City,San Mateo,11/7/2016,3350000,5.38,11,6,5,0,10174,1960,94063
3510 Moorpark Ave,San Jose,Santa Clara,12/21/2012,32000000,5.38,155,51,102,0,139675,1970,95117
730 Mariners Island Blvd,San Mateo,San Mateo,3/25/2014,16450000,5.38,45,30,15,0,38580,1979,94404
2210 San Jose Ave,Alameda,Alameda,6/29/2012,990000,5.38,7,0,7,0,8356,1960,94501
1185 Shirley Dr,Milpitas,Santa Clara,5/29/2013,826000,5.38,4,0,4,0,2996,1963,95035
66-86 W Rincon Ave,Campbell,Santa Clara,8/30/2012,4750000,5.38,23,5,15,3,20188,1977,95008
232 N 8th St,San Jose,Santa Clara,5/16/2014,2482000,5.37,12,12,0,0,6144,1954,95112
1516 1st Ave,Oakland,Alameda,12/19/2014,2025000,5.37,12,12,0,0,7264,1913,94606
1648-1706 Dutton Ave,Santa Rosa,Sonoma,2/28/2013,1700000,5.37,12,0,0,12,30000,1959,95407
2391-2395 Spring St,Redwood City,San Mateo,4/27/2017,1830000,5.37,6,4,1,0,6405,1949,94063
1404 3rd St,Calistoga,Napa,5/7/2014,850000,5.37,6,4,0,1,7000,1934,94515
265-321 1st St,Petaluma,Sonoma,10/8/2015,29750000,5.37,90,27,54,4,93175,2007,94952
1850 Pruneridge Ave,Santa Clara,Santa Clara,10/24/2012,7460000,5.36,30,24,6,0,22535,1978,95050
320 E Tabor Ave,Fairfield,Solano,1/14/2016,4650000,5.35,50,10,40,0,81892,1966,94533
2228 Encinal Ave,Alameda,Alameda,7/27/2016,1564000,5.35,11,10,1,0,7258,1963,94501
1919 Fruitdale Ave,San Jose,Santa Clara,11/30/2016,96000000,5.35,331,247,42,7,253098,1970,95128
485 S Willard Ave,San Jose,Santa Clara,1/16/2015,2495000,5.35,12,0,12,0,6069,1958,95126
3341-3347 18th St,San Francisco,San Francisco,2/3/2015,2850000,5.35,10,5,2,0,8304,1907,94110
465 Stierlin Rd,Mountain View,Santa Clara,9/30/2014,10000000,5.34,48,24,0,0,26496,1963,94043
27405 Manon Ave,Hayward,Alameda,12/24/2013,2850000,5.34,20,0,20,0,17640,1964,94544
1854 Robin Ln,Concord,Contra Costa,12/30/2015,1140000,5.34,8,2,6,0,5180,1962,94520
377 Sycamore Ave,Hayward,Alameda,12/6/2013,714000,5.33,5,0,5,0,3853,1968,94544
375-377 Sycamore Ave,Hayward,Alameda,12/6/2013,714000,5.33,5,0,5,0,3853,1960,94544
Foothills Apartments,Hayward,Alameda,8/3/2016,62000000,5.32,188,48,140,0,168446,1988,94544
1524 Milvia St,Berkeley,Alameda,12/7/2012,2050000,5.31,12,11,1,0,8372,1925,94709
601 Middle Ave,Belmont,San Mateo,2/11/2015,6783775,5.31,22,22,0,0,10528,1953,94002
1624 Ontario Dr,Sunnyvale,Santa Clara,12/28/2012,2515000,5.3,12,5,4,2,9047,1961,94087
1825 Sonoma Blvd,Vallejo,Solano,5/29/2014,12900000,5.28,137,45,0,0,113244,1917,94590
1926 Ivy St,San Mateo,San Mateo,7/15/2016,3100000,5.28,10,10,0,0,9974,1957,94403
3417 Fairview Dr,Antioch,Contra Costa,12/31/2015,1585100,5.28,11,0,11,0,8800,,
980 Simon St,Hayward,Alameda,4/11/2014,865000,5.28,6,4,2,0,5400,1953,94541
2260-2288 Wyandotte St,Mountain View,Santa Clara,8/8/2012,1895000,5.28,9,0,9,0,6904,1963,94043
1507 Newlands Ave,Burlingame,San Mateo,7/19/2013,1550000,5.28,5,5,0,0,3880,1922,94010
821 Broderick St,San Francisco,San Francisco,7/15/2014,2200000,5.27,6,0,6,0,6792,1908,94115
21354-21368 Oak St,Hayward,Alameda,9/4/2013,1300000,5.27,9,0,8,1,6192,1959,94546
100 Village Dr,Brentwood,Contra Costa,8/22/2016,7520000,5.26,52,42,10,0,37058,1971,94513
547 S 11th St,San Jose,Santa Clara,12/30/2014,1695000,5.25,8,2,6,0,5489,1953,95112
180 Buckingham Ave,Redwood City,San Mateo,7/14/2016,15000000,5.24,48,37,8,0,51701,1964,94063
600 Mariners Island Blvd,San Mateo,San Mateo,2/8/2013,7500000,5.24,24,12,12,0,23370,1976,94404
308 Torino Dr,San Carlos,San Mateo,6/20/2014,2500000,5.24,8,0,8,0,9804,1964,94070
335 Florida St,Vallejo,Solano,9/25/2015,430000,5.24,4,1,2,1,3148,1905,94590
1130 E 3rd Ave,Oakland,Alameda,10/31/2012,31000000,5.24,179,33,145,0,169558,1975,94606
1310 Burnett St,Berkeley,Alameda,12/2/2014,1040000,5.23,6,0,4,0,3602,1954,94702
2301 Ivy Dr,Oakland,Alameda,7/3/2013,867500,5.23,5,4,1,0,9708,1941,94606
664 Morse Ave,Sunnyvale,Santa Clara,8/16/2013,2550000,5.23,12,8,4,0,6910,1957,94085
157 San Diego Ave,San Bruno,San Mateo,9/12/2014,1570000,5.22,5,3,2,0,2000,1963,94066
1030 Gilbert St,Hayward,Alameda,7/14/2014,728000,5.22,5,4,0,0,2368,1952,94541
164 8th St,San Francisco,San Francisco,6/3/2016,3349000,5.22,13,6,1,0,10290,1911,94103
1212 Whipple Ave,Redwood City,San Mateo,12/31/2014,35200000,5.21,112,68,39,0,44873,1962,94062
4501 Snell Ave,San Jose,Santa Clara,12/10/2015,123767000,5.21,348,130,197,1,209128,1991,95136
560 University Dr,Menlo Park,San Mateo,5/29/2012,2200000,5.21,7,5,2,0,6624,1959,94025
