Property: Property Name,Prop City,Prop County,Last Sale,Last Price,Est. Sale Cap,Units,# 1 Bedrooms,# 2 Bedrooms,# 3 Bedrooms,Square Footage,Year Built,Prop Zip Code
1375 27th Ave,San Francisco,San Francisco,7/26/2013,1300000,4.05,5,3,1,0,4000,1927,94122
2130 Valerga Dr,Belmont,San Mateo,5/19/2016,4870000,4.04,12,10,2,0,12013,1962,94002
750 N King Rd,San Jose,Santa Clara,11/30/2016,55500000,4.04,168,90,78,0,126196,1987,95133
5-7 S Knoll Rd,Mill Valley,Marin,7/31/2013,2968000,4.04,10,0,10,0,8500,1962,94941
251 Middlefield Rd,Palo Alto,Santa Clara,11/16/2012,3170000,4.04,6,3,1,0,4480,1915,94301
1601 Santa Clara St,Santa Clara,Santa Clara,6/15/2015,11900000,4.04,36,14,14,0,26267,1986,95050
124 Benson Ave,Vallejo,Solano,1/15/2015,1233000,4.03,10,0,10,0,7920,1976,94590
3321 21st St,San Francisco,San Francisco,12/12/2013,3550000,4.03,12,3,0,0,5776,1904,94110
37453 Cherry St,,Alameda,4/1/2015,3400000,4.03,18,9,9,0,12800,1963,
400 Tyrella Ave,Mountain View,Santa Clara,9/6/2013,1380000,4.03,5,4,1,0,5825,1959,94043
222-234 Escuela Ave,Mountain View,Santa Clara,1/9/2015,86000000,4.01,187,57,60,13,98791,1969,94040
348 Estabrook St,San Leandro,Alameda,1/4/2016,7200000,4.01,38,13,13,12,35478,1965,94577
2200 Village Ct,Belmont,San Mateo,8/11/2016,9430000,4,23,14,9,0,24785,1965,94002
351 Lester Ave,Oakland,Alameda,10/21/2015,4085000,4,18,9,9,0,18675,1963,94606
54 Magnolia Ave,San Anselmo,Marin,2/11/2015,1500000,4,5,2,2,0,5324,1930,94960
1826 Poggi St,Alameda,Alameda,3/28/2013,117000000,4,615,6,407,196,536209,1966,94501
931-939 Golden Gate Dr,Napa,Napa,12/9/2015,950000,4,5,1,4,0,3659,1972,94558
36 Harder Rd,Hayward,Alameda,12/12/2016,11400000,4,60,26,12,12,44500,1946,94544
530 Brannan St,San Francisco,San Francisco,11/30/2012,73730000,4,120,66,15,1,85884,2003,94107
150 Graham Ave,San Jose,Santa Clara,3/7/2014,4450000,4,16,12,4,0,9254,1957,95110
1308 Palos Verdes Dr,San Mateo,San Mateo,12/31/2015,4925000,3.99,12,8,4,0,12018,1964,94403
1148 Norwood Ave,Oakland,Alameda,11/20/2012,910000,3.99,4,4,0,0,3620,1939,94610
2815 Harrison St,Oakland,Alameda,8/23/2013,910000,3.99,4,4,0,0,3198,1926,94611
Lake Park Apartments,Oakland,Alameda,3/30/2016,15000000,3.99,66,62,4,0,27007,1965,94612
2255 Deborah Dr,Santa Clara,Santa Clara,6/3/2015,1115000,3.99,4,0,8,0,4908,1962,95050
1240 Washington Ave,Sunnyvale,Santa Clara,9/30/2015,7650000,3.99,18,6,8,4,16756,1969,94086
1924 Manor Way,Fairfield,Solano,8/8/2016,750000,3.98,5,0,5,0,6000,1985,94533
1607 Santa Clara Ave,Alameda,Alameda,10/11/2013,1150000,3.97,6,5,1,0,4303,1955,94501
137 Sierra Dr,Walnut Creek,Contra Costa,5/17/2013,1150000,3.97,6,0,4,2,9330,1969,94596
6052 Chabot Rd,Oakland,Alameda,9/30/2016,4225000,3.97,14,8,6,0,13096,,94618
350 Wayne Pl,,Alameda,7/22/2015,1375000,3.96,6,6,0,0,5817,1925,94606
52 E 41st Pl,San Mateo,San Mateo,11/10/2016,8300000,3.95,20,7,12,0,15794,1963,94403
250 Palm Valley Blvd,San Jose,Santa Clara,11/3/2014,180000000,3.95,274,89,152,33,443394,2001,95123
430 California St,Santa Clara,Santa Clara,2/27/2015,2250000,3.95,8,0,8,0,6080,1959,95050
221 Grove Ave,Richmond,Contra Costa,11/25/2013,950000,3.94,8,0,8,0,5200,1962,94801
25227 Soto Rd,Hayward,Alameda,6/27/2014,1350000,3.94,7,0,7,0,5040,1955,94544
1228 Balboa Ct,Sunnyvale,Santa Clara,7/31/2015,7750000,3.94,18,10,8,0,16604,1964,94086
20145 Wisteria St,Castro Valley,Alameda,5/31/2013,968000,3.93,5,0,4,0,4844,1960,94546
467 Fleming Ave E,Vallejo,Solano,3/22/2016,2030000,3.92,16,12,4,0,10512,1971,94591
409 4th St,Petaluma,Sonoma,8/30/2013,1164000,3.92,6,0,6,0,4800,1964,94952
211 40th Street Way,Oakland,Alameda,7/2/2015,925000,3.92,4,4,0,0,3340,1914,94611
626 Beacon St,Oakland,Alameda,3/10/2017,1850000,3.92,8,6,0,1,5780,1922,94610
1302-1308 Daniel Ct,Milpitas,Santa Clara,12/26/2014,1360000,3.92,4,4,0,0,5013,1980,95035
409-419 4th St,Petaluma,Sonoma,8/22/2013,1164000,3.92,6,0,6,0,4800,1964,94952
2215 San Jose Ave,Alameda,Alameda,2/18/2014,1360000,3.91,7,2,4,1,6256,1965,94501
39 Claremont Ave,Redwood City,San Mateo,9/30/2014,2100000,3.9,5,1,3,1,6506,1963,94062
548 Garin Ave,Hayward,Alameda,10/23/2015,6825000,3.9,35,15,13,5,34571,,94544
36843 Sycamore St.,Newark,Alameda,7/10/2015,1640000,3.9,7,0,7,0,6300,1980,94560
11 Wood St,San Francisco,San Francisco,12/7/2012,1350000,3.9,5,4,0,0,3450,1926,94118
1617 Sixth Ave,Belmont,San Mateo,8/19/2016,3370000,3.89,8,3,5,0,8346,1962,94002
2539 E 16th St,Oakland,Alameda,3/17/2015,1865000,3.89,8,6,2,0,5122,1930,94601
713 Trancas St,Napa,Napa,10/30/2014,14075000,3.89,72,30,42,0,60752,1974,94558
430 Vernon St,Oakland,Alameda,2/17/2016,2800000,3.89,12,0,12,0,8004,1960,94610
12 Croxton Ave,Oakland,Alameda,9/30/2015,1400000,3.89,6,5,1,0,7405,1922,94611
121 W Macdonald Ave,Richmond,Contra Costa,6/26/2013,19000000,3.89,158,30,38,72,129904,1970,94801
1824 El Parque Ct,San Mateo,San Mateo,6/23/2015,1685000,3.89,4,1,2,1,8892,1964,94403
323 Alcatraz Ave,Oakland,Alameda,10/23/2014,3282000,3.87,14,14,0,0,6373,1962,94618
27495 Manon Ave,Hayward,Alameda,8/30/2016,4333000,3.86,22,0,22,0,17578,1964,94544
1470 Alice St,Oakland,Alameda,4/15/2016,5187500,3.85,22,10,12,0,21330,1966,94612
18 S Idaho,,San Mateo,12/23/2016,1275000,3.85,3,0,3,0,3647,1940,
788 Harrison St,San Francisco,San Francisco,1/11/2013,103000000,3.84,161,119,20,0,159604,2000,94107
1645 Mar West St,Belvedere Tiburon,Marin,3/21/2013,2500000,3.84,8,4,4,0,6548,1962,94920
3110 Casa de Campo,San Mateo,San Mateo,4/11/2016,62500000,3.83,146,12,84,26,145540,1965,94403
29 Clinton St,Redwood City,San Mateo,3/29/2016,6410000,3.83,15,12,0,0,19208,1930,94062
1101 Carey Dr,Concord,Contra Costa,1/12/2017,7750000,3.83,39,0,39,0,59920,1964,94520
335 Perkins St,Oakland,Alameda,8/30/2016,1420000,3.83,6,6,0,0,3750,1930,94610
Summerwood,Hayward,Alameda,9/25/2014,32200000,3.83,162,76,49,37,122359,,94541
21701 Foothill Blvd,Hayward,Alameda,9/25/2014,32200000,3.83,162,76,49,37,238452,,94541
572 Troy Dr,San Jose,Santa Clara,11/30/2016,1741000,3.83,6,2,1,1,6070,1960,95117
3730 Moorpark Ave,San Jose,Santa Clara,8/19/2016,9280000,3.83,32,16,16,0,38836,1969,95117
1403 Oxford St,Redwood City,San Mateo,8/26/2015,2570000,3.82,6,1,5,0,6835,1976,94061
465 Bellevue Ave,Oakland,Alameda,11/16/2012,5225000,3.82,22,10,4,6,17604,1923,94610
524 Willard Ave,San Jose,Santa Clara,8/11/2015,3500000,3.81,12,12,0,0,6096,1958,95126
518-520 S Willard Ave,San Jose,Santa Clara,8/10/2015,3500000,3.81,12,10,0,0,6069,1958,95126
1621 Sixth Ave,Belmont,San Mateo,8/19/2016,3880000,3.8,9,1,7,0,9898,1962,94002
891 Cedar St,Alameda,Alameda,1/31/2014,1200000,3.8,6,3,2,0,6132,1935,94501
106-116 Lark Center Dr,Santa Rosa,Sonoma,3/12/2014,1200000,3.8,6,0,6,0,6200,1975,95403
515 S E St,Santa Rosa,Sonoma,7/29/2016,4200000,3.8,21,10,11,0,14053,1962,95404
2491 Whitney Dr,Mountain View,Santa Clara,9/16/2014,11700000,3.8,40,29,5,0,23588,1960,94043
3792 Harrison St,Oakland,Alameda,7/30/2014,5030000,3.79,21,9,9,3,29604,1964,94611
2425 Humboldt Ave,Oakland,Alameda,12/2/2016,3110000,3.79,13,0,12,1,12323,1962,94601
710 N Claremont St,San Mateo,San Mateo,3/17/2015,2168000,3.78,5,1,4,0,6540,1960,94401
16011 Maubert Ave,San Leandro,Alameda,5/22/2015,1005000,3.78,5,0,3,2,4500,1953,94578
7th Street Apartments,Hayward,Alameda,5/17/2016,2010000,3.78,10,0,10,0,8640,1970,94541
1142-1144 Mariposa St,San Francisco,San Francisco,12/15/2014,1895000,3.78,6,3,0,0,3500,1904,94107
1222-1230 4th St,San Rafael,Marin,2/6/2015,4440000,3.78,14,2,2,0,12648,1922,94901
1172 Brace Ave,San Jose,Santa Clara,3/18/2016,2350000,3.78,8,0,6,2,8230,1969,95125
438 Ventura Ave,Palo Alto,Santa Clara,8/10/2015,5650455,3.78,10,0,10,0,8278,1960,94306
830 Gordon Ave,Belmont,San Mateo,5/15/2015,1300000,3.78,3,3,0,0,2796,1955,94002
501 S Fremont St,San Mateo,San Mateo,1/8/2015,2605000,3.77,6,0,6,0,6970,1964,94402
2392 Mammoth Dr,San Jose,Santa Clara,3/15/2017,1180000,3.77,4,4,0,0,3104,1960,95116
270 26th Ave,San Francisco,San Francisco,2/17/2015,2800000,3.76,10,8,0,2,9195,1963,94121
1600 162nd Ave,San Leandro,Alameda,8/18/2016,8900000,3.76,44,24,20,0,30991,1962,94578
2351 Sutter Ave,Santa Clara,Santa Clara,12/19/2014,1775000,3.76,6,3,3,0,4280,1962,95050
497-503 Fairbanks Ave,Oakland,Alameda,10/30/2015,1450000,3.75,6,0,4,0,9216,1940,94610
12 Coleman Pl,Menlo Park,San Mateo,10/9/2014,3500000,3.74,8,4,2,2,6700,1962,94025
1615-1617 Addison St,Berkeley,Alameda,1/29/2014,1454000,3.74,6,2,0,3,2722,1940,94703
Palomar Terrace,Hayward,Alameda,2/16/2017,30500000,3.74,150,65,72,13,118350,,94544
213-227 Todd Rd,Santa Rosa,Sonoma,1/20/2016,1425000,3.74,7,0,6,0,6071,,95407
Lafayette Commons,Lafayette,Contra Costa,3/20/2013,7340000,3.73,36,0,36,0,43020,1963,94549
410 Elizabeth St,San Francisco,San Francisco,3/21/2013,1600000,3.73,5,4,1,0,3225,1878,94114
362 Euclid Ave,Oakland,Alameda,2/13/2015,7050000,3.73,29,18,11,0,31323,1969,94610
28222 Lustig Ct,Hayward,Alameda,10/17/2014,4900000,3.72,24,0,0,24,26429,1968,94544
1525 Arch St,Berkeley,Alameda,7/6/2012,1950000,3.72,8,8,0,0,8013,1924,94708
3568 Agate Dr,Santa Clara,Santa Clara,6/30/2016,6000000,3.71,20,10,8,2,13416,1961,95051
1095 Marina Dr,Napa,Napa,3/14/2017,10320000,3.71,42,0,42,0,48925,1978,94559
450 California St,Santa Clara,Santa Clara,10/21/2015,2400000,3.71,8,0,8,0,5838,1959,95050
1481 Fremont St,Santa Clara,Santa Clara,1/29/2016,2997000,3.71,10,10,0,0,5952,1954,95050
1320 Josephine St,Berkeley,Alameda,11/12/2015,1225000,3.7,5,3,1,0,2600,1950,94703
255 Jayne Ave,Oakland,Alameda,8/7/2013,2950000,3.69,12,3,8,0,14064,1961,94610
151-153 Upper Via Casitas,Greenbrae,Marin,11/6/2013,2275000,3.69,7,5,1,1,8426,1966,94904
344 Torino Dr,San Carlos,San Mateo,9/25/2014,1775000,3.69,4,1,2,1,3700,1966,94070
1761 Vallejo St,San Francisco,San Francisco,9/19/2014,6300000,3.68,12,6,6,0,13036,1964,94123
2028 Dwight Way,South Berkeley,Alameda,5/19/2014,3200000,3.68,13,5,7,0,14900,,94704
2500 Durant Ave,Berkeley,Alameda,8/10/2012,11600000,3.67,47,24,4,0,36580,1914,94704
2036 Damuth St,Oakland,Alameda,4/20/2015,987500,3.67,4,0,3,1,4477,1972,94602
14 W Main St,Los Gatos,Santa Clara,3/7/2014,7200000,3.67,21,14,1,0,11526,1904,95030
777 Rand Ave,Oakland,Alameda,7/15/2015,2725000,3.66,11,10,1,0,7929,1964,94610
63 Douglass St,San Francisco,San Francisco,8/10/2012,1440000,3.66,5,4,1,0,4250,1915,94114
5114 Wall Ave,,Contra Costa,7/17/2015,2400000,3.64,8,0,0,8,11770,2007,
640 Brooklyn Ave,Oakland,Alameda,2/26/2016,4500000,3.63,18,18,0,0,10473,1929,94606
67 Henry St,San Francisco,San Francisco,9/18/2012,1450000,3.63,5,5,0,0,4290,1920,94114
447-451 Green St,San Francisco,San Francisco,12/5/2013,1642500,3.63,5,5,0,0,6375,1907,94133
4549-4963 Central Ave,Fremont,Alameda,4/18/2014,2100000,3.62,10,0,8,2,10740,1964,94536
1476 Lincoln Ave,San Rafael,Marin,12/15/2016,3645000,3.62,11,11,0,0,9436,,94901
2275 Sharon Rd,Menlo Park,San Mateo,5/30/2014,19950000,3.61,44,24,20,0,47601,1962,94025
1440 Gordon St,Redwood City,San Mateo,5/25/2016,6350000,3.61,14,4,9,1,13115,1964,94061
382 Adams St,Oakland,Alameda,1/29/2016,7540000,3.61,30,12,12,0,24499,1974,94610
452-454 Clementina St,San Francisco,San Francisco,11/14/2014,1750000,3.61,6,6,0,0,3650,1909,94103
162 Roosevelt Ave,Redwood City,San Mateo,12/27/2013,2275000,3.6,5,4,0,1,7256,1964,94061
Tyrrell Apartments,Hayward,Alameda,11/30/2016,1480000,3.6,7,0,6,1,5376,1963,94544
460 S 10th St,San Jose,Santa Clara,8/15/2016,5580000,3.59,18,5,13,0,11021,1960,95112
511 Highland Ave,San Mateo,San Mateo,2/21/2014,2280000,3.59,5,2,3,0,6526,1975,94401
435 Walnut St,San Carlos,San Mateo,4/7/2016,9150000,3.58,20,6,12,0,13826,1953,94070
300 Coleridge St,San Francisco,San Francisco,11/19/2013,1767500,3.57,6,0,6,0,6120,1910,94109
1152-1158 Norwood Ave,Oakland,Alameda,6/2/2014,1015000,3.57,4,4,0,0,3160,1949,94610
616-624 Morse Ave,Sunnyvale,Santa Clara,12/10/2015,12800000,3.56,41,16,1,0,18610,1959,94085
1424-1428 Polk St,San Francisco,San Francisco,2/6/2015,5328000,3.56,18,12,4,0,13280,1908,94109
6 Linda Ave,Oakland,Alameda,12/5/2014,1025000,3.54,4,4,0,0,3677,1916,94611
2311 Ivy Dr,Oakland,Alameda,11/24/2015,1280000,3.54,5,0,5,0,8476,1944,94606
592 Jean St,Oakland,Alameda,11/4/2016,4100000,3.54,16,2,14,0,14301,1962,94610
3465 Richmond Blvd,Oakland,Alameda,5/7/2015,3350000,3.52,13,0,13,0,10552,1964,94611
1112 Alhambra Ave,Martinez,Contra Costa,12/15/2015,865000,3.52,4,4,0,0,4224,1925,94553
850 Meridian Way,San Jose,Santa Clara,9/28/2016,42500000,3.51,112,76,36,0,106854,1978,95126
1674 Filbert St.,San Francisco,San Francisco,1/16/2015,3300000,3.51,6,6,6,6,5487,,94123
1455 Bay St,Alameda,Alameda,9/5/2014,1300000,3.51,6,0,5,0,6177,1960,94501
109-111 Clement St,San Francisco,San Francisco,5/20/2015,2000000,3.51,5,4,0,0,4470,4470,94118
872 S 45th St,Richmond,Contra Costa,2/12/2015,800000,3.51,6,0,6,0,4352,1962,94804
112 27th St,San Francisco,San Francisco,6/26/2013,1700000,3.51,5,5,0,0,4920,1900,94110
810 Walker Ave,Oakland,Alameda,12/6/2012,1291000,3.51,5,4,1,0,6832,1921,94610
328 Torino Dr,San Carlos,San Mateo,9/29/2015,1869000,3.51,4,2,2,0,3100,1957,94070
380 N Jefferson St,Dixon,Solano,1/5/2016,1285000,3.51,8,0,8,0,9194,1890,95620
100 Palm Valley Blvd,San Jose,Santa Clara,11/3/2014,180000000,3.5,189,89,87,13,209101,2008,95123
142 Graham Ave,San Jose,Santa Clara,3/7/2014,4450000,3.5,14,12,2,0,7764,1957,95110
52-67 Lower Via Casitas,Greenbrae,Marin,5/11/2015,5500000,3.49,16,0,16,0,15600,1966,94904
15 Atherwood Ave,Redwood City,San Mateo,5/10/2016,8000000,3.48,17,3,14,0,16814,1959,94061
589 Merritt Ave,Oakland,Alameda,12/31/2015,2604545,3.48,10,10,0,0,6951,1925,94610
1007 Brown Ave,Lafayette,Contra Costa,12/18/2012,1750000,3.48,8,0,7,0,9573,1964,94549
493-495 Merritt Ave,Oakland,Alameda,12/4/2013,2615000,3.47,10,6,4,0,12487,1920,94610
448 Mariposa Ave,Mountain View,Santa Clara,8/15/2014,3125000,3.47,7,6,0,1,10024,1963,94041
270 Dunster Dr,Campbell,Santa Clara,11/16/2016,3200000,3.47,10,5,5,0,6624,1958,95008
2401 Carlmont Dr,Belmont,San Mateo,12/9/2015,7580000,3.46,16,0,16,0,17478,1961,94002
1179 Park Ave,Alameda,Alameda,2/18/2015,1760000,3.46,8,4,2,2,6517,1962,94501
478 Schafer Rd,Hayward,Alameda,8/21/2015,1100000,3.46,5,0,5,0,4191,1962,94544
550-590 Penny Ln,Mountain View,Santa Clara,8/15/2013,5250000,3.46,7,0,7,0,8372,2002,94043
17999 Sonoma Hwy,Sonoma,Sonoma,3/15/2016,1100000,3.46,5,5,0,0,2500,1962,95476
4961 Old Dublin Rd,Castro Valley,Alameda,11/30/2015,1100000,3.46,5,3,2,0,2910,1940,94552
545 S 11th St,San Jose,Santa Clara,8/4/2016,2575100,3.45,8,8,0,0,5488,1950,95112
4052 Lincoln Ave,Oakland,Alameda,11/20/2014,1050000,3.45,4,1,2,1,3269,1960,94602
21740 Olive Ave,Cupertino,Santa Clara,6/20/2012,1935000,3.45,6,3,1,2,3652,1935,95014
2201 Balboa St,San Francisco,San Francisco,12/5/2014,1525000,3.45,5,5,0,0,3738,1956,94121
838 Fremont St,Menlo Park,San Mateo,4/30/2013,1900000,3.45,4,3,1,0,3256,1956,94025
1801-1807 Sausal St,Oakland,Alameda,11/15/2016,3800000,3.44,12,0,0,12,11160,1986,94602
5670 Telegraph Ave,Oakland,Alameda,4/29/2014,1580000,3.44,6,10,0,0,3458,1944,94609
821-823 Jackson St,San Francisco,San Francisco,8/2/2013,1530000,3.44,5,4,0,0,4204,1912,94133
The Imperial,San Leandro,Alameda,4/28/2016,4200000,3.44,19,0,19,0,15268,1961,94577
438 N El Camino Real,San Mateo,San Mateo,6/24/2016,11455000,3.43,24,18,6,0,24490,1960,94401
1469 Bellevue Ave,Burlingame,San Mateo,10/1/2015,40575000,3.43,85,51,30,4,74973,1962,94010
301 Lester Ave,Oakland,Alameda,5/3/2013,1850000,3.43,7,5,2,0,6982,1948,94606
37 Sherland Ave,Mountain View,Santa Clara,9/12/2014,1950000,3.42,6,0,6,0,5106,1962,94043
6000 Sunhill Cir,,Contra Costa,8/20/2015,16000000,3.42,72,0,72,0,78772,,
1299 Leigh Ave,San Jose,Santa Clara,11/16/2016,10440000,3.41,32,12,19,1,30851,1971,95126
350 Newton Ave,Oakland,Alameda,8/17/2016,11217000,3.4,42,27,12,0,30012,1960,94606
100-114 Nicholl Ave,Richmond,Contra Costa,5/29/2013,1650000,3.4,12,6,5,0,9160,1913,94801
726 Bush St,San Francisco,San Francisco,10/31/2014,4950000,3.4,16,6,0,0,11400,1915,94108
1457-1475 Santa Clara St,Santa Clara,Santa Clara,3/18/2016,4900000,3.4,15,11,4,0,13210,1960,95050
3843 Howe St,Oakland,Alameda,1/22/2015,2665000,3.4,10,8,2,0,6692,1959,94611
55 Roque Moraes Ct,Mill Valley,Marin,9/26/2014,2125000,3.39,6,0,6,0,4960,1974,94941
Cypress Garden Apartments,Hayward,Alameda,12/28/2012,1800000,3.38,8,0,8,0,6400,1962,94544
3080 Jackson St,San Francisco,San Francisco,9/5/2014,4000000,3.38,7,0,6,0,8172,1926,94115
1008 Amador Street,,Contra Costa,9/22/2016,450000,3.38,2,0,2,0,1392,,
1442 Gordon St,Redwood City,San Mateo,5/25/2016,6800000,3.37,14,0,12,2,36948,1964,94061
126 W Ahwanee Ave,Sunnyvale,Santa Clara,6/30/2016,22500000,3.36,68,68,0,0,37136,1964,94085
412 Monte Vista Ave,Oakland,Alameda,6/9/2014,3781000,3.36,14,14,0,0,11241,1908,94611
246 W Hamilton Ave,Campbell,Santa Clara,8/20/2014,1988000,3.35,6,2,3,1,4512,1958,95008
Evergreen Apartments,Walnut Creek,Contra Costa,5/6/2014,7280000,3.34,32,12,20,0,23379,1965,94597
835 Fremont St,Menlo Park,San Mateo,6/4/2015,1960000,3.34,4,4,0,0,8548,1956,94025
914 Wisconsin St,San Francisco,San Francisco,11/22/2013,1575000,3.34,5,4,1,0,3510,1925,94107
332 Edith St,Petaluma,Sonoma,5/12/2016,3200000,3.33,14,0,14,0,11848,1964,94952
1715 Spruce St,Berkeley,Alameda,5/8/2013,2998000,3.33,11,7,3,1,10397,1952,94709
555 S Park Victoria Dr,Milpitas,Santa Clara,8/12/2016,46000000,3.31,137,40,65,32,111182,1973,95035
3680 Kelsey Knolls Grove,Santa Rosa,Sonoma,3/31/2016,66377000,3.31,124,24,76,24,134272,2004,95403
310 Bayview St,San Rafael,Marin,4/20/2016,5075000,3.31,14,0,14,0,10624,1971,94901
3801-3817 Shafter Ave,Oakland,Alameda,7/21/2015,2200000,3.3,8,2,6,0,7313,1940,94609
2230 Lakeshore Ave,Oakland,Alameda,8/15/2012,2201000,3.3,8,2,6,0,10065,1953,94606
2823 11th Ave,Oakland,Alameda,11/25/2015,1647000,3.3,6,5,0,1,4869,1927,94610
27404-27467 Manon Ave,Hayward,Alameda,3/31/2016,8300000,3.3,36,0,0,36,34200,1964,94544
2747 Haste St,Berkeley,Alameda,11/19/2013,6900000,3.29,25,25,0,0,21334,1920,94704
1438 Lafayette St,Alameda,Alameda,9/20/2013,1850000,3.29,8,0,8,0,10456,1909,94501
3867 Buell St,Oakland,Alameda,2/21/2014,1378000,3.29,5,0,4,1,5053,1965,94619
775 9th Ave,Redwood City,San Mateo,4/30/2015,4000000,3.28,8,3,3,0,4800,1959,94063
755 9th Ave,Redwood City,San Mateo,4/30/2015,4000000,3.28,8,4,2,0,4650,1960,94063
1859 Joan Way,Santa Clara,Santa Clara,7/29/2016,3050000,3.28,9,4,5,0,6471,1958,95050
4064 Hamilton Ave,San Jose,Santa Clara,10/29/2015,2709000,3.28,8,0,8,0,6612,1963,95130
53-57 Potomac St,San Francisco,San Francisco,3/20/2013,1820000,3.28,5,5,0,0,4800,1900,94117
350 La Strada Dr,San Jose,Santa Clara,11/3/2014,180000000,3.26,226,49,153,24,275000,1999,95123
415 Adams St,Oakland,Alameda,8/25/2016,2500000,3.26,9,1,8,0,6405,1962,94610
160 Athol Ave,Oakland,Alameda,9/30/2015,1395000,3.25,5,3,2,0,5060,1921,94606
436 Tehama St,San Francisco,San Francisco,8/6/2014,2200000,3.25,6,4,0,1,3600,1907,94103
237 Avian Dr,Vallejo,Solano,8/16/2016,10400000,3.25,68,4,52,11,69080,1964,94591
353-364 Grand Ave,Oakland,Alameda,1/29/2016,7000000,3.24,25,18,0,0,21114,1930,94610
29393-29401 Dixon St,Hayward,Alameda,4/10/2015,1880000,3.24,8,0,4,0,7452,1947,94544
1230 Jackson St,San Francisco,San Francisco,9/9/2014,1950000,3.24,6,0,6,0,5673,1911,94109
1972 Desert Cir,Walnut Creek,Contra Costa,5/10/2013,1175000,3.24,5,4,1,0,4048,1967,94598
40 Tiffany Ave,San Francisco,San Francisco,6/26/2015,3900000,3.24,12,12,0,0,7920,1923,94110
7375 Rollingdell Dr,Cupertino,Santa Clara,8/29/2014,52910000,3.23,128,32,96,0,118240,1978,95014
447 Santa Fe Ave,Richmond,Contra Costa,4/1/2014,725000,3.23,5,4,0,0,3115,1908,94801
3400 Country Dr,Fremont,Alameda,10/15/2012,47750000,3.23,203,16,140,0,266523,1973,94536
466 N 13th St,San Jose,Santa Clara,8/15/2016,2410000,3.23,7,7,0,0,3825,1957,95112
3301 Homestead Rd,Santa Clara,Santa Clara,7/28/2014,13400000,3.23,39,13,13,13,55026,1972,95051
250 Franciscan Ct,Fremont,Alameda,5/12/2015,4725000,3.22,20,15,4,1,14574,1971,94539
457 E N St,Benicia,Solano,5/19/2015,775000,3.21,5,5,0,0,3650,1966,94510
1301 Palos Verdes Dr,San Mateo,San Mateo,12/20/2016,4100000,3.2,8,4,4,0,8662,1964,94403
433 Tuolumne St,Vallejo,Solano,6/7/2016,935000,3.19,6,4,2,0,10017,,94590
341 Castro St,San Leandro,Alameda,8/14/2015,1192000,3.19,5,0,5,0,4374,,94577
438 Anza St,San Francisco,San Francisco,11/14/2012,1650000,3.19,5,3,1,0,4250,1926,94118
3501 Lafayette St,Santa Clara,Santa Clara,5/24/2016,5936500,3.18,17,0,17,0,14280,1965,95054
925 Pomeroy Ave,Santa Clara,Santa Clara,12/16/2016,7000000,3.18,20,4,10,0,12869,1961,95051
2229 W 136th Ave,San Leandro,Alameda,5/28/2015,1200000,3.17,5,0,1,4,5082,1960,94577
157 Montecito Ave,Oakland,Alameda,6/28/2016,2000000,3.17,7,7,0,0,4750,1910,94610
1431 El Camino Real,Burlingame,San Mateo,2/24/2016,2065000,3.17,4,2,2,0,3222,1947,94010
1353 7th Ave,San Francisco,San Francisco,10/27/2015,9995000,3.16,30,15,0,0,33004,1974,94122
4340 Anza St,San Francisco,San Francisco,2/20/2015,3000000,3.16,9,3,0,0,6123,1927,94121
925 Azure St,Sunnyvale,Santa Clara,11/26/2014,2950000,3.16,7,1,6,0,11440,1985,94087
700 Arbor Rd,Menlo Park,San Mateo,4/5/2013,2075000,3.16,4,3,1,0,3304,1956,94025
25800 Industrial Blvd,Hayward,Alameda,12/23/2015,157850000,3.15,544,181,363,0,240556,1987,94545
905 Santa Clara Ave,Alameda,Alameda,5/1/2015,4100000,3.15,17,17,0,0,11503,1947,94501
1500 Lakeshore Ave,Oakland,Alameda,5/31/2013,1725000,3.15,6,6,0,0,5940,1931,94606
360 Lafayette Ave,San Leandro,Alameda,7/1/2016,1450000,3.15,6,5,1,0,4103,1948,94577
524 E Maude Ave,Sunnyvale,Santa Clara,4/19/2016,14800000,3.15,42,40,1,0,23928,1958,94085
6615 Schmidt Ln,,Contra Costa,12/18/2015,5800000,3.15,24,8,14,2,34594,,
442-444 Scott St,San Francisco,San Francisco,2/5/2014,1900000,3.14,5,4,0,0,4252,1900,94117
840-842 Cedar St,Alameda,Alameda,7/21/2014,1214500,3.13,5,3,1,0,3000,1915,94501
910 Clinton St,Redwood City,San Mateo,12/22/2016,9450000,3.12,18,6,12,0,23352,1972,94061
400 Orange St,Oakland,Alameda,11/22/2016,5225000,3.12,18,12,6,0,14952,1960,94610
123 17th St,Oakland,Alameda,2/16/2017,7000000,3.11,24,4,0,0,10986,1912,94612
1053 2nd St,Lafayette,Contra Costa,2/19/2015,10500000,3.11,43,16,23,4,45940,1962,94549
483 22nd Avenue,San Francisco,San Francisco,10/26/2012,2720000,3.1,8,0,6,2,8664,1922,94121
1030-1032 Washington St,San Francisco,San Francisco,7/24/2014,2038000,3.1,6,4,0,1,5752,1937,94108
838 Cedar Street,Alameda,Alameda,2/13/2015,1965091,3.1,8,2,6,0,5952,1955,94501
122 Lyon St,San Francisco,San Francisco,2/11/2014,1700000,3.1,5,2,0,0,3814,,94117
