"Property: ID","Property: Property Name","City","Zip Code","Prop Sale GRM","Square Footage","Last Price"
"a0F1a000000pGNY","2745 Stuart St","Berkeley","94705","6.37","6127","440000.00"
"a0F1a000000pGNc","1760 Walnut St","Berkeley","94709","5.93","10452","700000.00"
"a0F1a000000pEYr","2530 Fruitvale Ave","Oakland","94601","8.39","3792","400000.00"
"a0F1a000000pDq6","Riverside Apartments","Napa","94559","7.65","18436","4450000.00"
"a0F1a000000pEal","1458 Madison St","Oakland","94612","9.14","18475","2425000.00"
"a0F1a000000pGLn","1733 Grant St","Berkeley","94703","7.88","11472","860000.00"
"a0F1a000000pGLp","2425 Durant Ave","Berkeley","94704","7.61","9782","700000.00"
"a0F1a000000pAbq","646 Corbett Ave","San Francisco","94114","8.37","28887","8525000.00"
"a0F1a000000pB6x","85 Palm Ave","San Francisco","94118","16.67","4290","1400000.00"
"a0F1a000000pGLw","2750 Dwight Way","Berkeley","94704","7.64","12114","1800000.00"
"a0F1a000000pGLx","1810 West St","Berkeley","94702","6.48","15650","800000.00"
"a0F1a000000pEXH","6636 Laird Ave","Oakland","94605","11.48","6400","775000.00"
"a0F1a000000pDqL","Stonehouse Apartments","Napa","94558","6.92","125000","9000000.00"
"a0F1a000000pB72","199 Aegean Way","Vacaville","95687-4056","8.00","50456","6650000.00"
"a0F1a000000p70h","209 Brown St","Vacaville","95688","9.74","12940","1875000.00"
"a0F1a000000p716","6116 Telegraph Ave","Oakland","94609","11.12","11351","2370000.00"
"a0F1a000000p717","3380 Adeline St","Berkeley","94703","7.91","9408","2705000.00"
"a0F1a000000p71E","442 San Marco St","Fairfield","94533","7.19","8100","819000.00"
"a0F1a000000pFtH","Mendocino Apartments","Concord","94521","8.60","35815","275000.00"
"a0F1a000000pArl","3101 Jackson St","San Francisco","94115","16.47","7957","980000.00"
"a0F1a000000pFuV","Courtyard Plaza","Concord","94520","7.88","45808","3600000.00"
"a0F1a000000pFub","429 Rincon Rd","El Sobrante","94803","14.20","6876","865000.00"
"a0F1a000000pFuc","1855 Trinity Ave","Walnut Creek","94596","10.62","33708","2400000.00"
"a0F1a000000pFsf","28 Camino Del Sol","Martinez","94553","9.36","6696","1025000.00"
"a0F1a000000pFuH","2100 Stanton Ave","San Pablo","94806","10.73","4568","695000.00"
"a0F1a000000p9uj","600-610 33rd Ave","San Francisco","94121","14.51","5898","890000.00"
"a0F1a000000pFsl","347 Vaqueros Ave","Rodeo","94572","10.64","15444","1015000.00"
"a0F1a000000pFsm","2101 Stanton Ave","San Pablo","94806","8.25","4430","995000.00"
"a0F1a000000pFuM","1525 Russell St","Berkeley","94703","7.29","17452","2450000.00"
"a0F1a000000pFuN","425 E 18th St","Oakland","94606","7.55","49865","15300000.00"
"a0F1a000000pFt2","1601 Sunnyvale Ave","Walnut Creek","94597","11.81","21152","3695000.00"
"a0F1a000000pEwv","Clarendon Hills Apartments","Hayward","94544","9.69","247533","64000000.00"
"a0F1a000000pE3a","1300 Costa Ave","Richmond","94806","7.85","15546","2350000.00"
"a0F1a000000pG8x","1660 Haller Ct","Concord","94520","10.46","11798","1475000.00"
"a0F1a000000pG9m","2009 Ascot Drive","Moraga","94556","17.36","8628","2250000.00"
"a0F1a000000pGQX","1930 Vine St","Berkeley","94709","8.17","23447","1800000.00"
"a0F1a000000pGQY","1241 Solano Ave","Albany","94706","8.46","16375","1695000.00"
"a0F1a000000pGWy","1814 Derby St","Berkeley","94703","9.01","3650","875000.00"
"a0F1a000000pFRE","891 Cedar St","Alameda","94501","13.99","6132","1200000.00"
"a0F1a000000pFRF","1617 8th St","Alameda","94501 -22","9.82","3479","425000.00"
"a0F1a000000pHQZ","135 20th St","Richmond","94801","9.93","3575","305000.00"
"a0F1a000000pHQa","1910-1919 Bissell Ave","Richmond","94801","8.55","3593","585000.00"
"a0F1a000000pHSM","1822 Mulberry St","Alameda","94501","16.45","6186","1168000.00"
