Address,Type,SaleDate,SalePrice,GRM,Cap,PricePerSF,PricePerUnit,BldgSF,NumberOfUnits,Age,BuildingCondition,BuildingClass,BuildingMaterials,Latitude,Longitude,1Bedrooms,2Bedrooms,3Bedrooms,Floors,ZipCode,Rating,Vacancy,Zoning,SaleCondition,YearBuilt
5684 Bay St,Multi-Family (Lifestyle Center),12/21/2007,108000000,,,392.73,380282,275000,284,10,Good,A,,37.835728,-122.291732,42,242,0,4,94608,4 Star,0,PUD,,2007
13495 Bancroft Ave,Multi-Family,10/31/2007,12500000,,,190.92,135870,65471,92,54,Good,C,Reinforced Concrete,37.7165563,-122.1426043,42,50,0,3,94578,3 Star,0,R-5,1031 Exchange,1963
2341 Valley St,Multi-Family,7/25/2007,3193000,10.9,6.46,151.04,77878,21140,41,107,Good,C,Masonry,37.8133325,-122.2677383,41,0,0,3,94612,3 Star,0,C-60,,1910
10410 Foothill Blvd,Multi-Family,10/26/2004,2700000,7.03,8.97,79.74,67500,33860,40,77,Good,C,Wood Frame,37.745265,-122.150785,40,0,0,2,94605,2 Star,5,N/Av,,1940
1221 Jones St,Multi-Family,4/25/2008,37265000,,,345.05,517569,108000,72,46,Good,A,Steel,37.7927489,-122.4147254,40,24,0,13,94109,4 Star,0,RM4,,1971
1221 Jones St,Multi-Family,2/13/2004,20500000,9.94,4.82,189.81,284722,108000,72,46,Good,A,Steel,37.7927489,-122.4147254,40,24,0,13,94109,4 Star,0,RM4,,1971
21600 Westpark St,Multi-Family,11/16/2001,3915000,7.42,8.77,127.5,81563,30706,48,54,Good,C,Masonry,37.664553,-122.11259,40,8,0,2,94541,2 Star,0,R-H,,1963
1555 164th Ave,Multi-Family,10/8/2015,5576000,11.9,4.9,297.96,136000,18714,41,61,Good,C,Masonry,37.697631,-122.11105,40,1,0,2,94578,2 Star,0,0,1031 Exchange,1956
110 Dias Cir,Multi-Family,11/24/1999,11250000,7.49,7.66,92.76,72115,121284,156,28,Good,B,Reinforced Concrete,38.009134,-121.873469,40,100,16,2,94565,4 Star,0,RM,,1989
1355 Mt Pisgah Rd,Multi-Family,9/29/2015,11350000,,4.35,272.55,283750,41644,40,51,Good,C,,37.899651,-122.057622,40,0,0,2,94596,2 Star,0,0,,1966
20475 Wisteria St,Multi-Family,4/13/2000,2800000,7.65,7.92,95.24,65116,29400,43,58,Good,C,Masonry,37.696344,-122.085535,40,3,0,2,94546,2 Star,0,RSD,1031 Exchange,1959
