Address,Type,SaleDate,SalePrice,GRM,Cap,PricePerSF,PricePerUnit,BldgSF,NumberOfUnits,Age,BuildingCondition,BuildingClass,BuildingMaterials,Latitude,Longitude,1Bedrooms,2Bedrooms,3Bedrooms,Floors,ZipCode,Rating,Vacancy,Zoning,SaleCondition,YearBuilt
20211 Santa Maria Ave,Multi-Family,9/17/2004,2700000,9.93,6.67,112.72,168750,23954,16,45,Good,C,Wood Frame,37.698111,-122.078605,0,14,2,2,94546,2 Star,0,N/Av,,1972
19991 Santa Maria Ave,Multi-Family,6/12/2008,2675000,13.36,4.69,169.3,191071,15800,14,46,Good,C,,37.6997612,-122.0787967,0,14,0,2,94546,2 Star,0,RSD,,1971
19991 Santa Maria Ave,Multi-Family,4/9/2013,2647000,,5.53,167.53,189071,15800,14,46,Good,C,,37.6997612,-122.0787967,0,14,0,2,94546,2 Star,0,RSD,,1971
3247 Somerset Ave,Multi-Family,4/24/2012,2600000,,,186.78,216667,13920,12,17,Good,C,Masonry,37.701157,-122.08484,0,0,0,2,94546,3 Star,0,0,,2000
2506 Grove Way,Multi-Family,6/27/2006,2600000,10.32,5.52,126.04,136842,20628,19,53,Good,C,Masonry,37.686036,-122.071224,0,16,2,2,94546,2 Star,0,N/Av,1031 Exchange,1964
22242-22258 N 6th St,Multi-Family,12/1/2016,2365000,8.86,7,267.11,295625,8854,8,49,Good,B,,37.6834926,-122.0744418,0,4,4,2,94546,3 Star,0,RSD20. Alameda County,,1968
20668 Forest Ave,Multi-Family,9/20/2012,2300000,,6,215.11,121053,10692,19,56,Good,C,,37.6954939,-122.0682611,0,0,0,1,94546,2 Star,0,0,,1961
20072-20090 Lake Chabot Rd,Multi-Family,7/14/2015,2162000,,4.76,290.98,216200,7430,10,58,Good,C,Wood Frame,37.6981545,-122.0867684,0,8,2,2,94546,2 Star,0,0,,1959
20559 Forest Ave,Multi-Family,9/20/2013,1800000,,5,169.97,150000,10590,12,53,Good,C,Masonry,37.695808,-122.069495,0,12,0,2,94546,2 Star,0,0,,1964
20370 Wisteria St,Multi-Family,8/12/2005,1800000,14.42,4.43,241.13,225000,7465,8,47,Good,C,,37.696965,-122.084657,0,7,1,1,94546,2 Star,0,N/Av,,1970
20824-20846 Chester St,Multi-Family,1/30/2004,1750000,10,7,142.09,159091,12316,11,37,Good,C,Masonry,37.694634,-122.079792,0,11,0,2,94546,2 Star,0,N/Av,,1980
22242-22258 N 6th St,Multi-Family,4/9/2013,1680000,,5.36,189.74,210000,8854,8,49,Good,B,,37.6834926,-122.0744418,0,4,4,2,94546,3 Star,0,RSD20. Alameda County,,1968
20071 Wisteria St,Multi-Family,10/3/2003,1625000,10.88,6.03,171.96,162500,9450,10,52,Good,C,Masonry,37.698827,-122.086692,0,10,0,2,94546,2 Star,0,RSD,1031 Exchange,1965
20116-20120 Anita Ave,Multi-Family,3/19/2012,1510000,,6.71,179.08,188750,8432,8,52,Good,C,Wood Frame,37.698611,-122.083111,0,0,8,2,94546,2 Star,0,RSD25,,1965
20224-20228 Forest Ave,Multi-Family,7/11/2013,1500000,,5,126.76,166667,11833,9,57,Good,C,,37.6981081,-122.0683357,0,8,1,2,94546,2 Star,0,RSD-20,,1960
20071 Wisteria St,Multi-Family,7/22/2011,1500000,,7,158.73,150000,9450,10,52,Good,C,Masonry,37.698827,-122.086692,0,10,0,2,94546,2 Star,0,RSD,,1965
20229 Redwood Rd,Multi-Family,1/10/2003,1500000,12.53,5.18,192.11,214286,7808,7,18,Good,C,,37.6985936,-122.0743236,0,7,0,2,94546,3 Star,0,RSD,1031 Exchange,1999
19941 Redwood Rd,Multi-Family,9/27/2001,1450000,12.33,5.21,198.6,207143,7301,7,28,Good,C,Wood Frame,37.7014438,-122.0745857,0,7,0,2,94546,2 Star,0,RS,,1989
2536 Grove Way,Multi-Family,2/7/2017,1415000,,4.5,267.23,283000,5295,5,53,Good,C,,37.686373,-122.07066,0,5,0,2,94546,2 Star,0,RSD20,1031 Exchange,1964
20478 Anita Ave,Multi-Family,3/25/2004,1395000,11.36,5.35,120.4,174375,11586,8,30,Good,C,,37.696393,-122.082608,0,7,1,2,94546,2 Star,0,CBD-DA,,1987
20259-20261 Santa Maria Ave,Multi-Family,12/13/2011,1215000,10.56,5.12,156.09,135000,7784,9,52,Good,C,,37.6976942,-122.078863,0,9,0,1,94546,2 Star,0,N/Av,,1965
21354-21368 Oak St,Multi-Family,9/29/2006,1200000,12.5,5.02,193.8,133333,6192,9,58,Good,C,Masonry,37.685554,-122.090492,0,0,0,2,94546,2 Star,0,R4,1031 Exchange,1959
19911-19921 Anita Ave,Multi-Family,4/12/2007,1187000,14.36,4.5,117.01,197833,10144,6,56,Good,C,Masonry,37.7002007,-122.0842327,0,5,1,2,94546,2 Star,0,0,,1961
2540 Grove Way,Multi-Family,12/14/2004,1095000,10.86,6.7,51.97,156429,21068,7,52,Good,C,Masonry,37.686382,-122.070311,0,7,0,2,94546,2 Star,0,N/Av,,1965
20145 Wisteria St,Multi-Family,5/31/2013,968000,,4.95,199.83,193600,4844,5,59,Good,C,Wood Frame,37.6985201,-122.0862277,0,4,1,2,94546,2 Star,0,RSD-15,,1958
20928 Chester St,Multi-Family,10/30/2001,890000,10.91,5.77,86.58,178000,10280,5,44,Good,C,Masonry,37.69377,-122.079665,0,4,1,2,94546,2 Star,0,CV/CBD,1031 Exchange,1973
2540 Denning Ct,Multi-Family,1/13/2006,885000,18.23,3.23,200.95,221250,4404,4,56,Good,C,Wood Frame,37.69625,-122.089407,0,4,0,2,94546,2 Star,0,R3,,1961
21306 Rizzo Ave,Multi-Family,9/10/2004,720909,13.37,5.44,241.43,144182,2986,5,65,Good,C,Masonry,37.6902102,-122.0820734,0,0,1,2,94546,2 Star,0,N/Av,,1952
21306 Rizzo Ave,Multi-Family,9/5/2014,700000,13.26,4.57,234.43,140000,2986,5,65,Good,C,Masonry,37.6902102,-122.0820734,0,0,1,2,94546,2 Star,0,N/Av,Deferred Maintenance,1952
22432 N 5th St,Multi-Family,4/24/2012,650000,,5.97,191.18,162500,3400,4,107,Good,C,Wood Frame,37.6810654,-122.0760553,0,4,0,2,94546,2 Star,0,0,,1910
21041 Wilbeam Ave,Multi-Family,3/26/2012,460000,,5,152.82,153333,3010,3,89,Good,C,,37.692604,-122.077387,0,3,0,2,94546,2 Star,0,RES,,1928
4336 Ferdinanda Pl (Part of Multi-Property Sale),Multi-Family,12/29/2011,,,,,,4896,4,43,Good,C,Masonry,37.709007,-122.074275,0,4,0,2,94546,2 Star,0,0,,1974
4339 Ferdinanda Pl (Part of Multi-Property Sale),Multi-Family,12/29/2011,,,,,,4704,4,43,Good,C,Masonry,37.708668,-122.074318,0,4,0,2,94546,2 Star,0,0,,1974
1733 Seminary Ave,Multi-Family,11/8/2016,1825000,,6.8,134.19,107353,13600,17,88,Good,C,Masonry,37.767384,-122.197078,0,16,1,2,94621,2 Star,0,R-70,1031 Exchange,1929
955-959 75th Ave,Multi-Family,6/29/2015,1800000,,7,113.64,90000,15840,20,56,Good,C,Masonry,37.754352,-122.192539,0,20,0,2,94621,2 Star,0,RES,,1961
1725-1729 Seminary Ave,Multi-Family,10/9/2002,1400000,7.19,7.36,79.2,43750,17676,32,90,Good,C,Masonry,37.767214,-122.19754,0,4,0,1,94621,2 Star,0,R50/R70,1031 Exchange,1927
1071 81st Ave,Multi-Family,11/13/2003,1300000,7.46,8.02,275.37,92857,4721,14,54,Good,C,Masonry,37.753744,-122.184854,0,14,0,2,94621,2 Star,0,R-50,,1963
5917 Bromley Ave,Multi-Family,6/11/2002,1150000,6.3,8.8,85.74,38333,13413,30,87,Good,C,Wood Frame,37.766507,-122.196268,0,0,0,1,94621,2 Star,0,N/Av,1031 Exchange,1930
1326-1332 80th Ave,Multi-Family,11/5/2004,1025000,8.37,8.11,50.88,85417,20144,12,53,Good,C,,37.7556,-122.182922,0,12,0,2,94621,2 Star,0,N/Av,,1964
1733 Seminary Ave,Multi-Family,5/10/2002,950000,6.6,9.5,69.85,55882,13600,17,88,Good,C,Masonry,37.767384,-122.197078,0,17,0,2,94621,2 Star,0,R-70,,1929
8211 D St,Multi-Family,10/18/2005,780000,13.27,5.31,242.24,156000,3220,5,62,Good,C,,37.752751,-122.183789,0,5,0,2,94621,2 Star,0,R-50,,1955
1071 81st Ave,Multi-Family,12/9/2015,730000,,7.5,154.63,104286,4721,7,54,Good,C,Masonry,37.753744,-122.184854,0,7,0,2,94621,2 Star,0,R-50,,1963
7123 Holly St,Multi-Family,1/4/2005,645000,10.54,6.1,51.24,107500,12588,6,54,Good,C,,37.762842,-122.18413,0,6,0,2,94621,2 Star,0,R-35,1031 Exchange,1963
5801-5815 Eastlawn St,Multi-Family,9/30/2016,600000,9.62,4.81,204.08,75000,2940,8,,Good,C,,37.764403,-122.201573,0,0,0,1,94621,2 Star,0,0,1031 Exchange,
7448 Lockwood St,Multi-Family,4/7/2015,599000,9.98,5.88,169.4,149750,3536,4,60,Good,C,,37.7618272,-122.1797399,0,4,0,2,94621,2 Star,0,0,,1957
1347 89th Ave,Multi-Family,5/29/2014,378500,8.59,7.1,189.25,94625,2000,4,95,Good,C,,37.750254,-122.176102,0,4,0,1,94621,2 Star,0,N/Av,,1922
8211 D St,Multi-Family,6/8/2001,320000,11.23,4.25,99.38,64000,3220,5,62,Good,C,,37.752751,-122.183789,0,5,0,2,94621,2 Star,0,R-50,,1955
1003 85th Ave,Multi-Family,4/5/2000,290000,5.86,11.3,80,58000,3625,5,32,Good,C,Masonry,37.750504,-122.183719,0,5,0,2,94621,2 Star,0,R50,,1985
5924 E 17th St,Multi-Family,5/5/2000,280000,6.63,8.3,71.72,70000,3904,4,54,Good,C,,37.766331,-122.196764,0,0,4,2,94621,2 Star,0,R-50,,1963
1669 81st Ave,Multi-Family,5/17/2000,265000,7.36,8.13,32.11,66250,8252,4,52,Good,C,,37.758271,-122.176861,0,4,0,2,94621,2 Star,0,R-30,,1965
1621 83rd Ave,Multi-Family,12/7/1999,260000,6.99,10.29,84.25,65000,3086,4,51,Good,C,,37.756397,-122.176546,0,4,0,2,94621,2 Star,0,R30,,1966
1618 65th Ave,Multi-Family,3/31/2000,259000,8.67,6.85,86.8,86333,2984,3,69,Good,C,Wood Frame,37.763746,-122.192532,0,0,3,1,94621,2 Star,0,R50,1031 Exchange,1948
2040 87th Ave,Multi-Family,5/1/2009,255000,4.83,11.8,66.41,63750,3840,4,53,Good,C,,37.755088,-122.167958,0,0,4,2,94621,2 Star,0,R40,REO Sale,1964
1436 85th Ave,Multi-Family,5/2/2000,250000,7.44,8.14,28.76,62500,8692,4,53,Good,C,,37.753846,-122.17636,0,4,0,2,94621,2 Star,0,R-30,,1964
1216 87th Ave,Multi-Family,12/2/1999,235000,8.85,7.15,19.47,58750,12072,4,53,Good,C,,37.750229,-122.178814,0,4,0,2,94621,2 Star,0,R-30,,1964
1488 81st Ave,Multi-Family,11/10/1999,215000,8.39,5.69,19.91,53750,10796,4,76,Good,C,,37.757005,-122.178248,0,4,0,2,94621,2 Star,0,R-50,,1941
1001 Mariposa St (Part of Multi-Property Sale),Multi-Family,11/30/2012,29290000,,,401.23,472419,73000,62,17,Good,B,Reinforced Concrete,37.7637008,-122.3940215,0,0,0,2,94107,3 Star,0,M-1,,2000
548 Brannan St,Multi-Family,1/8/2013,22220000,,3.8,332.14,653529,66900,34,14,Good,B,Reinforced Concrete,37.7777905,-122.3977875,0,0,0,4,94107,3 Star,0,SLI,,2003
1418 Rhode Island St,Multi-Family,8/22/2016,2300000,,5.26,441.37,383333,5211,6,52,Good,C,Wood Frame,37.751683,-122.4015518,0,0,0,3,94107,2 Star,0,R-3,1031 Exchange,1965
18-28 Clyde St,Multi-Family,4/29/2005,1800000,14.59,4.9,290.32,300000,6200,6,110,Good,C,Wood Frame,37.7785622,-122.3940975,0,0,6,3,94107,2 Star,0,SLI,,1907
1414 Kansas St,Multi-Family,6/4/2008,1700000,13.47,7.1,423.31,212500,4016,8,54,Good,C,,37.7515542,-122.4024625,0,0,0,2,94107,2 Star,0,RH2,,1963
508-510 Brannan St,Retail,4/23/2013,1600000,,5.02,581.82,,2750,1,108,Good,,Wood Frame,37.778201,-122.397055,0,0,0,2,94107,2 Star,0,SLI,,1909
524 Kansas St,Multi-Family,5/27/2004,1500000,20.74,3.35,370.19,375000,4052,4,40,Good,C,Wood Frame,37.763013,-122.40368,0,4,0,2,94107,2 Star,0,RH3,,1977
530 Kansas St,Multi-Family,8/6/2004,1500000,20.75,3.2,370.19,375000,4052,4,40,Good,C,Wood Frame,37.7629255,-122.4036478,0,4,0,2,94107,2 Star,0,RH3,,1977
695 Connecticut St,Multi-Family,11/16/2005,1450000,14.33,4.31,271.33,181250,5344,8,57,Good,C,Wood Frame,37.757667,-122.396827,0,4,0,3,94107,2 Star,0,RH2,1031 Exchange,1960
2236-2242 18th St,Multi-Family,10/3/2003,810000,13.92,4.48,147.27,162000,5500,5,107,Good,C,,37.7622133,-122.4049961,0,0,0,2,94107,3 Star,0,RH3,,1910
2245 18th St,Multi-Family,12/13/2010,808000,,,196.5,202000,4112,4,61,Good,C,,37.7619627,-122.4049428,0,4,0,2,94107,2 Star,0,RH-2,Estate/Probate Sale,1956
976 Harrison St,Multi-Family,11/19/1999,467000,9.07,7.48,169.45,116750,2756,4,108,Good,C,Wood Frame,37.7778509,-122.4037309,0,4,0,2,94107,2 Star,0,RSD,,1909
100 Eddy St,Multi-Family,6/24/2005,3425000,13.21,4.48,221.25,190278,15480,18,27,Good,C,Wood Frame,37.9287836,-122.3887423,0,18,0,2,94801,3 Star,0,MFR1,,1990
400 20th St,Multi-Family,11/16/2007,1650000,9.34,5.4,132.63,126923,12441,13,25,Good,C,Wood Frame,37.937106,-122.350071,0,7,6,2,94801,3 Star,0,R3,1031 Exchange,1992
400 20th St,Multi-Family,1/15/2003,1585000,8.23,8.32,127.4,121923,12441,13,25,Good,C,Wood Frame,37.937106,-122.350071,0,7,6,2,94801,3 Star,0,R3,1031 Exchange,1992
1505 Roosevelt Ave,Multi-Family,7/15/2016,1370000,10.98,6.1,259.47,171250,5280,8,27,Good,C,,37.94012,-122.355186,0,8,0,2,94801,2 Star,0,R3,1031 Exchange,1990
122-124 11th Ave,Multi-Family,7/23/2004,1250000,17.3,3.37,272.03,208333,4595,6,95,Good,C,Wood Frame,37.9329007,-122.3588127,0,0,0,3,94801,2 Star,0,RH2,,1922
220 Clarence St,Multi-Family,3/22/2001,1200000,7.17,9.27,101.3,100000,11846,12,43,Good,C,Wood Frame,37.929596,-122.391668,0,10,2,2,94801,2 Star,0,MRF-1,1031 Exchange,1974
1505 Roosevelt Ave,Multi-Family,5/18/2005,1000000,9.71,6.63,189.39,125000,5280,8,27,Good,C,,37.94012,-122.355186,0,8,0,2,94801,2 Star,0,R3,1031 Exchange,1990
400 20th St,Multi-Family,1/11/2001,925000,7.4,10,74.35,71154,12441,13,25,Good,C,Wood Frame,37.937106,-122.350071,0,7,6,2,94801,3 Star,0,R3,1031 Exchange,1992
159 Marina Way,Multi-Family,11/23/2005,925000,10.13,7.86,154.17,154167,6000,6,107,Good,C,,37.933603,-122.356439,0,2,4,6,94801,3 Star,0,MF-R1,,1910
233 Grove Ave (Part of Multi-Property Sale),Multi-Family,1/27/2005,772727,,,148.6,96590,5200,8,56,Good,C,,37.956366,-122.367184,0,8,0,2,94801,2 Star,0,RB,,1961
221 Grove Ave (Part of Multi-Property Sale),Multi-Family,1/27/2005,772727,,,148.6,96590,5200,8,56,Good,C,,37.956358,-122.367362,0,8,0,2,94801,2 Star,0,R-B,,1961
159 Marina Way,Multi-Family,8/30/2002,680000,8.05,8.4,113.33,113333,6000,6,107,Good,C,,37.933603,-122.356439,0,2,4,6,94801,3 Star,0,MF-R1,1031 Exchange,1910
233 Grove Ave,Multi-Family,4/22/2003,650000,7.36,7.79,125,81250,5200,8,56,Good,C,,37.956366,-122.367184,0,8,0,2,94801,2 Star,0,RB,,1961
221 Grove Ave,Multi-Family,4/22/2003,650000,7.36,7.79,125,81250,5200,8,56,Good,C,,37.956358,-122.367362,0,8,0,2,94801,2 Star,0,R-B,,1961
1505 Roosevelt Ave,Multi-Family,11/28/2000,640000,8.23,8.49,121.21,80000,5280,8,27,Good,C,,37.94012,-122.355186,0,8,0,2,94801,2 Star,0,R3,1031 Exchange,1990
29-31 13th St,Multi-Family,2/21/2017,638000,7.07,10.31,182.91,159500,3488,4,33,Good,C,,37.9318828,-122.3573919,0,3,1,2,94801,2 Star,0,0,,1984
1910-1919 Bissell Ave,Multi-Family,5/14/2004,585000,8.55,7.63,162.82,117000,3593,5,32,Good,C,Wood Frame,37.93387,-122.351048,0,3,1,2,94801,2 Star,0,N/Av,1031 Exchange,1985
2023 Chanslor Ave,Multi-Family,9/3/2010,578825,6.98,8.72,92.41,72353,6264,8,53,Good,C,Wood Frame,37.932718,-122.349883,0,8,0,2,94801,2 Star,0,R-3,,1964
233 Grove Ave (Part of Multi-Property Sale),Multi-Family,2/6/2008,575000,,,110.58,71875,5200,8,56,Good,C,,37.956366,-122.367184,0,8,0,2,94801,2 Star,0,RB,,1961
221 Grove Ave (Part of Multi-Property Sale),Multi-Family,2/6/2008,575000,,,110.58,71875,5200,8,56,Good,C,,37.956358,-122.367362,0,8,0,2,94801,2 Star,0,R-B,,1961
135 20th St,Multi-Family,3/1/2004,575000,9.93,6.62,160.84,115000,3575,5,32,Good,C,,37.933242,-122.350682,0,3,1,1,94801,2 Star,0,R2C,1031 Exchange,1985
159 Marina Way,Multi-Family,10/11/2001,519000,8.01,8.1,86.5,86500,6000,6,107,Good,C,,37.933603,-122.356439,0,2,4,6,94801,3 Star,0,MF-R1,,1910
2023 Chanslor Ave,Multi-Family,6/30/2000,518000,7.29,8.76,82.69,64750,6264,8,53,Good,C,Wood Frame,37.932718,-122.349883,0,8,0,2,94801,2 Star,0,R-3,1031 Exchange,1964
417 Verde Ave,Multi-Family,6/6/2013,510000,7.7,9,94.27,63750,5410,8,60,Good,C,,37.960158,-122.364547,0,4,4,2,94801,2 Star,0,M-29,REO Sale,1957
400 Bissell Ave,Multi-Family,9/3/2015,480000,9.1,7.8,135.21,120000,3550,4,98,Good,C,Wood Frame,37.933925,-122.365516,0,1,2,2,94801,2 Star,0,SFR-3,,1919
201 Sanford Ave,Multi-Family,9/20/2001,477000,6.68,9.78,126.69,68143,3765,7,58,Good,C,,37.952131,-122.368657,0,7,0,2,94801,2 Star,0,R4,1031 Exchange,1959
221 Grove Ave (Part of Multi-Property Sale),Multi-Family,11/25/2013,475000,,,91.35,59375,5200,8,56,Good,C,,37.956358,-122.367362,0,8,0,2,94801,2 Star,0,R-B,,1961
233 Grove Ave (Part of Multi-Property Sale),Multi-Family,11/25/2013,475000,,,91.35,59375,5200,8,56,Good,C,,37.956366,-122.367184,0,8,0,2,94801,2 Star,0,RB,,1961
261 4th St,Multi-Family,3/8/2002,450000,6.25,12.05,121.49,112500,3704,4,89,Poor,C,Wood Frame,37.935235,-122.365861,0,0,4,2,94801,2 Star,0,R-2,,1928
522 16th St,Multi-Family,5/8/2009,420000,7.17,7.9,128.83,84000,3260,5,33,Good,C,,37.9390165,-122.3541781,0,3,1,2,94801,2 Star,0,R-2,,1984
1505 Roosevelt Ave,Multi-Family,7/13/2010,395000,,,74.81,49375,5280,8,27,Good,C,,37.94012,-122.355186,0,8,0,2,94801,2 Star,0,R3,Deferred Maintenance,1990
530-538 16th St,Multi-Family,9/24/2012,385000,,7.76,110.6,77000,3481,5,33,Good,C,Wood Frame,37.939137,-122.354176,0,3,1,2,94801,2 Star,0,R-3,,1984
200-206 Marine St,Multi-Family,12/22/1999,364000,10.11,5.54,99.13,91000,3672,4,54,Good,C,Wood Frame,37.929952,-122.392336,0,4,0,2,94801,2 Star,0,RMDCD,1031 Exchange,1963
32 Sanford Ave,Multi-Family,10/11/2013,357500,,7.33,86.86,89375,4116,4,59,Good,C,Wood Frame,37.951752,-122.369712,0,4,0,2,94801,2 Star,0,P-1,1031 Exchange,1958
426 21st St,Multi-Family,3/10/2000,270000,7.76,7.43,85.5,67500,3158,4,53,Good,C,Wood Frame,37.937522,-122.349192,0,4,0,2,94801,2 Star,0,R4,,1964
129 20th St,Multi-Family,10/5/2000,267000,7.42,8.31,75.02,66750,3559,4,33,Good,C,,37.933097,-122.350692,0,3,1,1,94801,2 Star,0,R2C,1031 Exchange,1984
633 16th St,Multi-Family,1/11/2000,254500,8.32,6.7,82.31,63625,3092,4,34,Good,C,,37.941154,-122.354816,0,4,0,2,94801,2 Star,0,R-2,,1983
21 16th St,Multi-Family,11/17/1999,245500,7.31,7.84,72.02,61375,3409,4,67,Good,C,Wood Frame,37.931901,-122.354519,0,3,1,2,94801,2 Star,0,M2CD,,1950
611 16th St,Multi-Family,1/24/2000,227000,5.73,10.8,75.57,56750,3004,4,53,Good,C,,37.94034,-122.354765,0,4,0,2,94801,2 Star,0,R-2,,1964
611 18th St,Multi-Family,11/24/1999,215000,5.97,10.24,68.82,53750,3124,4,56,Good,C,,37.940372,-122.352774,0,4,0,2,94801,2 Star,0,R3,Distress Sale,1961
516 22nd St,Multi-Family,4/13/2000,203500,9.22,7.15,84.58,67833,2406,3,50,Good,C,Wood Frame,37.938827,-122.3482,0,3,0,2,94801,2 Star,0,R3,1031 Exchange,1967
201 Sanford Ave,Multi-Family,3/24/2000,193000,5.36,10.64,51.26,32167,3765,6,58,Good,C,,37.952131,-122.368657,0,6,0,2,94801,2 Star,0,R4,,1959
1335 Burbeck Ave,Multi-Family,4/27/2000,168000,5.38,11.09,62.31,56000,2696,3,34,Good,C,Wood Frame,37.943248,-122.356574,0,1,2,2,94801,2 Star,0,R2,,1983
1301 York St,Multi-Family,4/7/2000,150000,5.43,10.93,57.69,37500,2600,4,29,Good,C,Wood Frame,37.95204,-122.369098,0,4,0,2,94801,2 Star,0,NB,Deferred Maintenance,1988
5801-5817 Mission St,Retail,7/19/2013,2225000,,5.03,178.57,,12460,6,92,Good,,Wood Frame,37.7092888,-122.4506566,0,0,0,2,94112,2 Star,0,NC2,,1925
230 Lowell St,Multi-Family,6/30/2006,1200000,10,5.7,185.79,200000,6459,6,103,Good,C,Wood Frame,37.709286,-122.445431,0,0,0,3,94112,2 Star,0,RH1,,1914
4463-4467 Mission St,Retail,4/1/2015,1200000,,6.04,169.61,,7075,4,69,Good,,,37.7267108,-122.4329515,0,0,0,2,94112,3 Star,0,NC-3,Deferred Maintenance,1948
4700 Mission St,Retail,12/11/2015,1200000,16.67,4.46,214.78,,5587,6,57,Good,,Wood Frame,37.723089,-122.4363058,0,0,0,3,94112,2 Star,0,NC3,,1960
4427-4431 Mission St,Retail,1/19/2016,1000000,,4,281.14,,3557,2,67,Good,,Wood Frame,37.7271833,-122.4326179,0,0,0,2,94112,2 Star,0,NC3,,1950
5774-5780 Mission St,Multi-Family,2/10/2000,630000,12.27,5.71,153.96,157500,4092,4,56,Good,C,Wood Frame,37.7097364,-122.4507595,0,4,0,3,94112,2 Star,0,NC-2,Estate/Probate Sale,1961
1150 W Winton Ave,Multi-Family,2/9/2001,5000000,8.22,7.5,23.83,38760,209807,129,48,Good,C,,37.651785,-122.112864,0,0,0,1,94545,2 Star,0,MH,,1969
22370-22378 Thunderbird Pl,Industrial,1/13/2016,1419000,,7,110.17,,12880,0,41,Good,C,Reinforced Concrete,37.651634,-122.122168,0,0,0,1,94545,2 Star,0,0,,1976
2055 Aldengate Way,Multi-Family,1/13/2015,900000,,4.76,214.69,225000,4192,4,51,Good,C,Masonry,37.6338026,-122.0950767,0,2,2,2,94545,2 Star,0,0,,1966
2073 Aldengate Way,Multi-Family,6/24/2011,625000,,,149.09,156250,4192,4,51,Good,C,Masonry,37.633754,-122.095273,0,2,2,2,94545,2 Star,0,R-4,,1966
2089 Aldengate Way,Multi-Family,6/24/2011,625000,,,149.09,156250,4192,4,51,Good,C,Masonry,37.633744,-122.095615,0,2,2,2,94545,2 Star,0,R-4,,1966
2501-2507 San Pablo Ave,Retail,1/26/2015,1900000,,4.45,204.3,,9300,4,40,Good,,Masonry,37.86101,-122.289295,0,0,0,2,94702,2 Star,0,CW,,1977
2227 Bonar St,Multi-Family,7/15/2015,1749000,,5.81,246.34,218625,7100,8,57,Good,C,,37.865888,-122.286512,0,6,2,2,94702,2 Star,0,N/Av,1031 Exchange,1960
2223 Bonar St,Multi-Family,8/22/2014,1642500,10.58,5.84,231.34,205313,7100,8,57,Good,C,Wood Frame,37.866132,-122.286579,0,3,5,2,94702,2 Star,0,R2,,1960
1316 Burnett St,Multi-Family,11/1/2006,1483000,9.4,6.77,176.59,148300,8398,10,54,Good,C,Wood Frame,37.853545,-122.283058,0,10,0,2,94702,2 Star,0,0,,1963
2227 Bonar St,Multi-Family,2/4/2005,1343000,11.78,4.58,189.15,167875,7100,8,57,Good,C,,37.865888,-122.286512,0,3,4,2,94702,2 Star,0,N/Av,,1960
2223 Bonar St,Multi-Family,6/10/2013,1325000,,6.85,186.62,165625,7100,8,57,Good,C,Wood Frame,37.866132,-122.286579,0,3,5,2,94702,2 Star,0,R2,,1960
1944 Curtis St,Multi-Family,10/30/2002,1300000,9.94,7.19,106.05,76471,12258,17,88,Good,C,,37.8701643,-122.2899289,0,1,0,3,94702,2 Star,0,R3,1031 Exchange,1929
2223 Bonar St,Multi-Family,6/15/2005,1297500,9.72,6.1,182.75,162188,7100,8,57,Good,C,Wood Frame,37.866132,-122.286579,0,3,5,2,94702,2 Star,0,R2,,1960
1301 Hearst Ave,Multi-Family,4/28/2011,1290000,7.81,7.59,174.7,129000,7384,10,55,Good,C,Wood Frame,37.871516,-122.286532,0,8,2,2,94702,2 Star,0,0,REO Sale,1962
1155-1163 Hearst Ave,Multi-Family,1/28/2015,1210000,14.9,4.49,282.71,201667,4280,6,,Good,C,,37.8712202,-122.2904287,0,0,0,1,94702,2 Star,0,N/Av,1031 Exchange,
2249 Bonar St (Part of Multi-Property Sale),Multi-Family,5/24/2007,1035000,,,111.77,129375,9260,8,57,Good,C,Wood Frame,37.865424,-122.286413,0,7,1,2,94702,2 Star,0,R3,,1960
2235 Bonar St (Part of Multi-Property Sale),Multi-Family,5/24/2007,1035000,,,109.15,129375,9482,8,57,Good,C,Wood Frame,37.865672,-122.286481,0,7,1,2,94702,2 Star,0,R3,,1960
1319-1323 Ashby Ave,Multi-Family,12/29/2004,975000,9.7,7.24,191.03,162500,5104,6,90,Good,C,,37.8531309,-122.2828455,0,6,0,2,94702,2 Star,0,R-3,,1927
1349 Derby St,Multi-Family,3/3/2015,865000,,5.22,372.84,173000,2320,5,94,Good,C,Wood Frame,37.858568,-122.282731,0,1,0,2,94702,2 Star,0,R-1,,1923
2215 Bonar St,Multi-Family,11/1/2007,850000,,,99.23,106250,8566,8,57,Good,C,,37.866355,-122.286605,0,7,1,2,94702,2 Star,0,R-2,1031 Exchange,1960
2700-2714 Sacramento St,Multi-Family,2/9/2007,839500,9,7.5,209.61,104938,4005,8,89,Good,C,Wood Frame,37.858446,-122.280451,0,0,1,1,94702,2 Star,0,36320,Deferred Maintenance,1928
1314-1316 Ashby Ave,Multi-Family,11/5/2002,725000,8.06,8.52,207.44,145000,3495,5,63,Good,C,Wood Frame,37.852698,-122.283019,0,4,0,2,94702,2 Star,0,R-3,1031 Exchange,1954
2924 Mabel St,Multi-Family,9/20/2011,695000,8.5,7.55,190.41,139000,3650,5,54,Good,C,Wood Frame,37.853128,-122.284201,0,5,0,2,94702,2 Star,0,R-77,,1963
2924 Mabel St,Multi-Family,1/14/2004,675000,8.65,6.81,184.93,135000,3650,5,54,Good,C,Wood Frame,37.853128,-122.284201,0,5,0,2,94702,2 Star,0,R-77,,1963
